t,epo_level,EpoRpJAK2_Obs
17,2.5e-09,0.0718544990892979
17,7.905e-09,0.0575958110315999
17,7.905e-09,0.0574327431762878
17,7.905e-09,0.014343881902174
17,1.25e-08,0.0168677519474873
17,1.75e-08,0.00936506727287915
17,1.75e-08,0.00764305973281484
17,1.75e-08,0.0908974849271526
17,2.5e-08,0.0814882414270077
17,2.5e-08,0.0784184728516207
17,2.5e-08,0.42755752199932
17,3.95e-08,0.104516910638921
17,3.95e-08,0.112634361371101
17,3.95e-08,0.113093451935324
17,7.9e-08,0.0206584665171514
17,1.25e-07,0.0192832286511279
17,1.25e-07,0.0211202224713079
17,1.25e-07,0.00778464431459937
17,1.7675e-07,0.0240932799042013
17,1.7675e-07,0.0278829043227469
17,1.7675e-07,0.0340745636147101
17,2.5e-07,0.217460277807961
17,2.5e-07,0.221661665208688
17,2.5e-07,0.219963160995271
17,7.905e-07,0.0116616356965377
17,7.905e-07,0.0121028838816919
17,7.905e-07,-0.0022235341164654
17,2.5e-06,0.0484988913035459
