t,STAT5_Obs,pSTAT5_Obs,CISnRNA3_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3_Obs
0,131.452168139751,0.115716460743991,-1.09003244601157,272.675244364072,6.03924498344134e-06,1.3845075833668e-05,-0.0044818636755333
10,NaN,NaN,NaN,NaN,NaN,NaN,-0.0168982626998948
15,132.253756256518,6.99889286436595,0.2459701777526,275.018878776525,7.10848459467963e-05,6.73970462145904e-05,NaN
25,NaN,7.69601381724598,16.6506020061274,NaN,NaN,NaN,0.0916986992985013
30,119.570238045876,NaN,NaN,279.113672037608,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,0.000127681474753834,0.000122061492575293,0.195290016936658
40,NaN,7.47433787848259,30.0864660465179,NaN,NaN,NaN,NaN
45,109.132198008926,NaN,NaN,270.302161684804,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,0.405691683017156
55,NaN,7.94074398781416,NaN,NaN,0.000134581106447931,0.000129679920829295,NaN
60,NaN,NaN,34.1150218751449,290.217218633299,NaN,NaN,NaN
65,110.849910308393,NaN,NaN,NaN,NaN,NaN,0.571889974722784
75,NaN,7.69987379811487,36.5147572071588,NaN,0.00011936138987693,0.000119338948055101,NaN
80,134.562352117093,NaN,NaN,274.453972511432,NaN,NaN,0.694265556914577
90,NaN,7.05631008598118,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,32.8530627704335,NaN,NaN,NaN,NaN
100,129.013141778599,7.2550529855201,33.6353093299125,304.680736364805,0.000109831802085119,0.000118220383537415,0.801143083742382
150,117.504649905584,5.76547799754527,34.0283552544244,288.178640307988,0.000103880902166526,0.00010122711314023,0.856925018910289
200,108.811469264445,6.28306493093559,24.2934221517119,259.419229141112,9.32617827850776e-05,9.04968180943226e-05,0.853498755779576
250,109.60251871489,6.16106492816077,28.9186364447501,266.989295133259,8.92410555365542e-05,9.53052997180055e-05,0.885543682175307
300,108.028450717085,6.47029791730928,NaN,250.596496321772,0.000102481464447406,9.17094015210878e-05,NaN
