t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00128933549397924,-0.00029116151671234,120.110670323534,0.104834705301166,1.47349007249699,2.35386493191954,-0.024884049633388,7.4971918843261e-06,1.32808585313145e-06,1.37027573796009e-05,-1.69211716943182e-05,0.068550468531359
15,NaN,0.0100375184991394,91.7219399059477,14.1015843512842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,0.0654183461743014,NaN,NaN,NaN,27.4825116126732,16.1779832868656,NaN,NaN,NaN,NaN,NaN,0.211531428709405
25,NaN,NaN,NaN,13.0530010876106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,0.00662449193913501,NaN,NaN,NaN,NaN,NaN,NaN,0.000204727669848847,NaN,0.00380861941259546,NaN
35,0.0625722076852475,NaN,103.508988254317,NaN,57.1350603062609,NaN,NaN,NaN,NaN,0.000208448116882226,NaN,NaN
40,NaN,NaN,NaN,12.3485971433756,NaN,50.7439311469614,NaN,0.000212452677751221,NaN,NaN,NaN,0.552806935127655
45,NaN,0.00552407856647634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,0.95751615530103,NaN,NaN,NaN,NaN,NaN
55,0.0487316567117914,NaN,105.014175694633,10.2130329967376,52.8974181963605,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000152807978254304,NaN,NaN,0.921024835049692
65,NaN,0.0052194203549033,NaN,NaN,NaN,50.0498133591778,NaN,NaN,NaN,NaN,0.00869300335072217,NaN
70,NaN,NaN,105.050699924499,8.62963127426741,NaN,NaN,NaN,NaN,NaN,0.000145451602320316,NaN,NaN
80,0.0431769648405869,NaN,NaN,NaN,41.5903062017232,NaN,NaN,0.000138296131672813,NaN,NaN,NaN,NaN
85,NaN,0.00396947418280015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.05782807662694
90,NaN,NaN,NaN,8.11156787436543,NaN,42.7397075732379,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,113.281224753853,NaN,NaN,NaN,NaN,NaN,0.000124186742973754,NaN,NaN,NaN
100,0.0470201099964881,0.00434401193870988,114.558302512277,7.00541181543868,36.445009929701,38.1217408998375,1.8905097393343,0.000122866802980401,NaN,0.000125906426267248,0.0117806343008739,1.09219375990085
150,0.0417417960646665,0.00457664102092759,131.294642102877,5.22437646994326,28.0759408546519,26.6731794965938,2.48002309608771,9.95173986662204e-05,0.000106710378046625,0.000103083236081305,0.0107542276803144,1.15627583922631
200,0.0470454775798449,0.00440054588293076,122.004190205422,6.59326627098877,30.1849925960123,29.852656769321,2.92925154643171,NaN,8.52274414602057e-05,9.20293739840769e-05,0.00998001122934651,1.02639283201507
250,0.0447512754105787,NaN,119.132789192221,6.42599721380567,30.6054714176898,26.0770974287128,NaN,8.67977375494371e-05,NaN,9.09925988415156e-05,NaN,0.996042655395421
300,NaN,NaN,113.283618555738,NaN,27.3933463471501,26.4040221909664,2.75689654656103,9.68235712294363e-05,8.86303109229841e-05,0.00010099618555902,0.00859178053160841,NaN
350,NaN,NaN,128.354392306069,NaN,23.4942677140937,29.5835228878756,3.17174563382473,8.85876526205387e-05,8.95541313304417e-05,NaN,0.00858504421153674,NaN
400,NaN,NaN,NaN,NaN,NaN,25.4181273396786,NaN,NaN,NaN,9.31390856195899e-05,0.0096073649062548,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,3.37497323018796,9.40236030607263e-05,8.2841433432628e-05,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.78039593624543e-05,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,3.15401311076054,9.21394053368423e-05,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,NaN,3.48712879368033,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,NaN,3.19004601924685,NaN,NaN,NaN,NaN,NaN
