t,STAT5_Obs,pSTAT5_Obs,CISnRNA3_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3_Obs
0,127.237517829655,0.00898023854430156,-0.00355511465055981,-0.000244089201095489,1.43030126491473e-07,-4.78692625917696e-08,91.4644466754709
6.5,123.564152658892,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,90.8078731766474
10,NaN,0.103362785809057,-0.0652297683032974,NaN,3.49211798654593e-07,NaN,NaN
15,123.583033498676,NaN,NaN,-0.000564984553265299,NaN,8.93374137356677e-07,83.7706993960622
20,138.496260798852,NaN,NaN,NaN,2.11088103723667e-06,NaN,NaN
25,129.770722520241,0.224261654148673,0.363241092042302,NaN,NaN,2.38934168116752e-06,79.7578721163354
35,124.043600926856,NaN,NaN,0.00218514723573441,3.24633443813907e-06,NaN,80.3139607671215
40,NaN,0.22968097041721,0.771094028199857,NaN,NaN,2.91259294515108e-06,NaN
45,124.706884415068,NaN,NaN,NaN,3.63323913844841e-06,NaN,87.2788884836596
50,NaN,0.242089837312364,0.855232991845777,0.00752632009227381,NaN,NaN,NaN
55,127.32858018311,NaN,NaN,NaN,NaN,3.71756525462501e-06,85.2684955238657
60,NaN,NaN,NaN,NaN,3.34701449046218e-06,NaN,NaN
65,118.618546784034,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,0.211026355627513,0.968526330925086,0.0183142603646036,NaN,3.82240255468014e-06,77.820089279506
75,NaN,NaN,NaN,NaN,3.82472636145621e-06,NaN,NaN
80,129.271726019368,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,0.215099818052866,0.968887493811678,NaN,NaN,3.5339220046135e-06,83.7727661442041
90,NaN,NaN,NaN,NaN,3.68929884864491e-06,NaN,NaN
95,NaN,NaN,NaN,0.0273692243854011,NaN,NaN,NaN
100,121.623972020184,0.231733136205469,1.08409715530937,0.0318517288419149,3.37728303850623e-06,3.56134597447091e-06,84.0398128284489
150,NaN,0.195561731532025,0.863765391599058,0.0541303702571842,3.24707112656948e-06,3.18937072214455e-06,94.9462839239401
200,NaN,0.207001785274593,0.867346923134997,0.0628491184990907,3.3226520258512e-06,3.05482606495914e-06,NaN
250,NaN,0.17539949249087,0.90531861040739,0.0741677408915074,3.00370999163865e-06,3.27529386625931e-06,NaN
300,NaN,NaN,NaN,0.0770670677991143,NaN,NaN,NaN
