t,p1EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA4_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.000159708436847099,126.573159467992,-0.556391575560624,-0.866435913636801,-0.00925750347716803,2.59312063174095e-06,-6.51517784705429e-08,3.33690097741069e-06,9.79957023837093e-05,0.00338393749010429
6,NaN,NaN,NaN,1.3674960140136,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,121.157505800604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,0.00961797217259036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,8.31597730080206,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.000292269063285435,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0642636291015643
10,NaN,NaN,NaN,0.626970546023509,0.0203201453981951,6.62859032161735e-05,6.92263411215646e-05,4.63992446181286e-05,NaN,NaN
15,0.00550861401805188,108.463486335745,8.45253641825235,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,14.6229411316478,0.0121881047221422,NaN,0.000112005284492177,0.000109987010408388,0.000834828188752391,0.067193788731114
25,0.00374850918553397,105.925297349623,7.726764615622,20.0119427734438,NaN,0.000123762068831427,NaN,NaN,NaN,NaN
30,NaN,123.080647213347,NaN,23.0429151171428,NaN,NaN,0.000119053738985833,0.000129841275154429,0.00200164264152302,0.257388172786025
35,0.00306236011292076,NaN,6.93245783739872,NaN,0.180938103007432,0.000134185663741396,NaN,NaN,NaN,NaN
40,NaN,116.023666804474,NaN,34.3206656017062,NaN,NaN,NaN,NaN,0.00346082794220231,0.369304319511685
45,0.00303223057431561,NaN,6.54461330110017,NaN,0.343565186259165,NaN,0.000108660118407793,0.00012132402063336,NaN,NaN
50,NaN,108.620509725132,NaN,33.353801503358,NaN,0.000106658014642841,NaN,NaN,0.00468744085878684,0.400949138200351
60,0.00283367223939671,NaN,6.59951424040254,33.2503660385175,0.540256483720567,NaN,0.000107490388421986,0.000105311485173263,NaN,NaN
65,NaN,111.651564978547,NaN,NaN,NaN,NaN,NaN,NaN,0.00647613178791461,0.564877396022798
70,NaN,NaN,NaN,NaN,NaN,0.000102917074727657,NaN,NaN,NaN,NaN
75,0.00259454931253371,NaN,5.81707911268854,29.3739647399181,0.745888891208536,NaN,9.49023567736633e-05,9.13913722053338e-05,NaN,NaN
80,NaN,118.699913090846,NaN,NaN,NaN,NaN,NaN,NaN,0.00623532623322603,0.607420245376534
85,NaN,NaN,NaN,NaN,NaN,9.48987350473932e-05,NaN,NaN,NaN,NaN
90,0.00252815580256955,NaN,5.37788939133936,26.5020475911389,NaN,NaN,6.6957362869561e-05,8.60539452865335e-05,NaN,NaN
95,NaN,117.082183653098,NaN,NaN,1.0625946836364,NaN,NaN,NaN,NaN,NaN
100,0.00224090461267051,120.380254711524,5.51537918739294,22.9867119048415,1.03387390175028,8.75235082472544e-05,7.95756501839984e-05,7.66539655780435e-05,0.0071479545761932,0.65907944735128
150,NaN,107.276308016693,4.45839112351633,21.133530368054,1.48411645989863,6.85008765389934e-05,7.04452305918575e-05,6.95310143715367e-05,0.00734745723135884,0.686001562479074
200,NaN,NaN,NaN,NaN,1.72034419562074,6.48374516871408e-05,NaN,NaN,NaN,0.623037961952908
