t,p1EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA4_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,-0.000144486846856695,112.756814139077,-0.342948082172636,3.23961580029027,-0.00639911173202157,-2.2952216228988e-06,-1.69311710669672e-06,-4.56635801720109e-06,8.78783372981143e-05,0.0341153043392631
6,0.014573468242566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,7.51256813291328,-1.24548905912294,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,128.295546726773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.000212002208424642,-0.00011686320415627
10,0.00820701025298455,NaN,NaN,NaN,-0.0194050188138479,NaN,4.76857210325851e-05,5.18503510837769e-05,NaN,NaN
15,NaN,114.935577353552,8.86713690084978,2.97330718488054,NaN,0.000100163501733149,NaN,NaN,NaN,NaN
20,0.00453993056194949,111.303731445164,9.235223049602,11.4139089038674,0.0629168094803374,NaN,0.000123457493056289,0.000116699280597282,0.000757378260079537,0.0601882132042411
25,0.00398932999658547,NaN,NaN,19.3086002956698,NaN,0.000123701918377177,NaN,NaN,NaN,0.218828096169496
30,NaN,115.228054074707,7.32094339294873,NaN,NaN,NaN,0.000123838988087148,NaN,0.00291437607128443,NaN
35,0.0037213754928215,NaN,7.18649972826417,29.387808171577,0.131925018598904,NaN,NaN,0.000127766166818616,NaN,0.231683028417538
40,0.00286462822937387,113.933687964928,NaN,NaN,NaN,0.000131634854301955,NaN,NaN,0.00384447757387207,NaN
45,NaN,NaN,6.7961060447201,33.4375466018761,0.24670947360714,NaN,0.00012412538895972,0.000121142164777684,NaN,NaN
50,0.00301516502624974,119.628389029598,NaN,33.2521585973573,NaN,NaN,NaN,NaN,0.00462218604551458,0.434848241064101
55,NaN,NaN,6.89537995632544,NaN,NaN,0.000115563573823651,0.000106900744239758,NaN,NaN,NaN
60,0.00277198754699818,NaN,NaN,NaN,0.593927647851159,NaN,NaN,0.000115755930444191,NaN,0.481641607662351
65,NaN,121.877437479611,NaN,31.6216031446681,NaN,NaN,NaN,NaN,0.00623612541117016,NaN
70,NaN,NaN,5.97125724753164,NaN,NaN,9.71388859301927e-05,9.10423837308603e-05,NaN,NaN,NaN
75,0.00254151193579004,120.096740388462,NaN,27.4946002451782,0.826202714634176,NaN,NaN,9.86752293840979e-05,NaN,0.624914174669412
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00630457254062305,NaN
85,0.00276400674111449,NaN,4.56177073498783,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,29.4315519447589,NaN,8.22760269498762e-05,9.30415095495543e-05,NaN,NaN,0.663121213154435
95,NaN,123.848485646776,NaN,NaN,1.0511775258803,NaN,NaN,8.12601306784193e-05,NaN,NaN
100,0.00274132134640415,115.798256202582,5.00383786116049,22.9203564947195,1.09403483293065,8.34943057257281e-05,8.04870924147226e-05,8.52956630826098e-05,0.00734978735356587,0.617647762738556
150,NaN,114.959171125804,3.78809567722189,19.6260346041985,1.50374250967971,8.26876474675652e-05,6.75912363750742e-05,7.19941791640747e-05,0.0073037996263953,0.671933770518806
200,NaN,NaN,NaN,NaN,1.71320050234629,6.84571848042176e-05,NaN,NaN,NaN,0.672085985560458
