t,p12EpoRpJAK2_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA4_Obs,Compound_4_Obs
0,0.00026932799177208,0.520988948416867,11.7729674862917,12.4954502166557,-119.90795585206
5,0.187181943876461,NaN,NaN,NaN,NaN
5.5,NaN,NaN,-2.50632295545174,NaN,NaN
6.5,NaN,NaN,NaN,NaN,-13.8702630483414
9,NaN,NaN,NaN,5.57003212660907,NaN
10,0.0413559789933188,44.9643277294896,210.069020311477,NaN,NaN
15,0.020769089437178,NaN,351.180369645595,NaN,533.285180753717
20,0.0137745227761252,38.6477872620365,NaN,104.408127613611,865.792189606784
25,NaN,NaN,523.11100037767,170.614747854922,1234.70275260009
30,0.0102366507014769,33.0681408663373,571.789192525549,NaN,NaN
35,NaN,NaN,NaN,373.02125303896,1801.08976295087
40,0.00490209303635507,29.9030734240952,554.843734293069,NaN,1796.58249624021
45,NaN,NaN,515.068609555389,NaN,NaN
50,0.00668084736409936,NaN,NaN,508.10292919829,1983.56069377506
55,NaN,22.375730799708,500.790384570737,NaN,NaN
60,0.000492638282614605,NaN,NaN,507.006055206641,1971.1692375691
70,NaN,23.508271286674,385.528590924591,NaN,1791.41140265916
75,NaN,NaN,NaN,466.670160283261,NaN
85,NaN,18.4225546538222,329.710792019667,NaN,1617.01134061115
90,NaN,NaN,NaN,382.888531532748,NaN
100,NaN,17.984464541702,277.191445340409,331.35570529101,1320.24254558098
150,NaN,9.12537063157928,175.394050799289,208.400004102532,823.275722567366
200,NaN,7.307323092687,NaN,164.376217836605,NaN
