t,p12EpoRpJAK2_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA4_Obs,SOCS3nRNA3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,-0.0011873720817747,-1.81642350501294,-10.9884321149603,-25.98542358652,1.33753535936584e-05,-7.33638818960984,14.5748921563168,45.3239624853952,44.2355348866007
20,0.0884637846048959,NaN,655.068288259135,83.6396444575049,NaN,NaN,NaN,1135.94740978717,1151.72377919008
25,NaN,48.2493711536068,NaN,NaN,NaN,730.910987315857,883.956376339669,NaN,NaN
30,NaN,NaN,NaN,NaN,0.00104856319117851,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2298.32721041761
40,0.0338747452720574,NaN,NaN,596.770673806438,NaN,NaN,NaN,1490.6846546741,NaN
45,NaN,NaN,714.59146428733,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,35.6423905277273,NaN,NaN,NaN,644.37874620543,1403.08054400188,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2524.20413488678
60,NaN,NaN,NaN,659.221411948575,NaN,NaN,NaN,NaN,NaN
65,0.0186478139438001,NaN,NaN,NaN,0.000722770801622886,NaN,NaN,1180.82573125381,NaN
70,NaN,NaN,531.824640359982,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,28.1527870160907,NaN,NaN,NaN,523.248717189064,1156.63098001881,NaN,2204.37595906334
85,NaN,NaN,NaN,562.486929601523,NaN,NaN,NaN,NaN,NaN
90,0.0158759284785426,NaN,NaN,NaN,NaN,NaN,NaN,979.651464877498,NaN
95,NaN,NaN,402.020653156144,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0151215992692872,20.5304821435802,393.953280835569,464.726211822625,0.00047165080031543,384.417618899981,918.292937789213,820.021737166181,1830.76133877177
150,0.0165010960627807,15.8539741598566,264.805761766996,278.473426082926,0.000383905388470256,300.876700638169,611.952180035103,638.190637561172,1259.99430631516
200,NaN,10.9325437302383,207.237930300436,227.248271224481,0.000325571283767156,239.356116776468,448.838639639366,494.957595535837,933.187866905228
250,NaN,11.5996739250588,188.874013764943,199.272496286846,0.000228708810389948,193.886836597031,348.56824443368,422.730468632226,831.870619798569
300,NaN,10.1730864480605,211.9896819551,168.999300902462,0.000263727748359109,204.015631862653,375.564091077476,432.242775434752,760.830357917865
350,NaN,NaN,166.098191965614,NaN,0.000239921768511178,NaN,NaN,494.325907410645,NaN
400,NaN,10.5186440814899,196.511002532323,215.045987322303,NaN,240.060512995696,364.033400220509,402.524755508806,667.518313914463
450,NaN,NaN,NaN,NaN,0.000227595533667309,NaN,367.236362214436,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,192.999399697148,NaN,NaN,NaN
