t,p12EpoRpJAK2_Obs,pSTAT5_Obs,CISnRNA1_Obs,Compound_1_Obs
0,-0.000617778709481488,0.0442293460203231,0.326396669847383,188.0309257755
8,0.0247466225560452,NaN,NaN,NaN
10,NaN,NaN,2.91764583165185,187.613134859903
15,0.0393210643221347,2.03004930223361,NaN,NaN
20,NaN,NaN,16.5562284595377,NaN
25,0.0124299400849915,2.21697060324479,NaN,225.353761885712
30,NaN,NaN,27.6592516444744,NaN
35,NaN,NaN,NaN,210.272039961374
40,0.00518187430759458,2.16564883032346,30.9309161089743,NaN
50,0.00509828850747066,NaN,NaN,234.820880186247
55,NaN,1.96526003222251,34.6970985597495,NaN
65,0.00211261059758055,NaN,35.0064821769985,226.022356465409
70,NaN,2.00012258686096,NaN,NaN
80,NaN,NaN,34.3836459166158,233.417470355908
85,0.00257934139518379,NaN,NaN,NaN
90,NaN,1.86164772957879,NaN,NaN
100,NaN,1.83571366136547,29.6896828465214,233.009323021362
150,NaN,1.65284318229275,23.9368000242202,194.742837842328
200,NaN,1.37226515269984,22.1752724386115,220.447007158323
250,NaN,1.29856442176678,20.2162800298338,214.751479028004
