t,p12EpoRpJAK2_Obs,pSTAT5_Obs,CISnRNA1_Obs,Compound_1_Obs
0,-0.00978749535497219,1.00690536138526,19.3335667184457,29.3633242842927
6,0.45971448351907,NaN,NaN,NaN
10,NaN,58.0256171933624,248.229260067995,197.651290762912
15,0.146545849334271,NaN,NaN,NaN
20,0.0869260163777091,52.2981953212355,NaN,625.03853709162
25,0.0712029768932483,NaN,729.828327959403,NaN
30,NaN,44.5230188438183,NaN,753.931452637545
35,0.0382759229839625,NaN,743.276134561889,NaN
40,NaN,NaN,NaN,716.445726481275
45,0.0250086651975544,36.0277333747062,NaN,NaN
50,NaN,NaN,702.043772707278,NaN
55,NaN,33.2025428394796,NaN,642.565659505585
60,0.0178944092341052,NaN,NaN,NaN
65,NaN,NaN,580.48530135143,NaN
70,NaN,28.8810078900179,NaN,544.368282107704
75,0.0193578269699216,NaN,NaN,NaN
80,NaN,NaN,504.750123832095,NaN
85,NaN,25.5175065983434,NaN,472.463371525203
100,NaN,20.5244543254217,399.563900282989,390.190640855572
150,NaN,13.6321660972129,270.298717045473,280.441263017198
200,NaN,11.43762479967,229.713860166801,204.926589633833
250,NaN,12.6078403932471,167.013398042744,NaN
