t,epo_level,Compound_1_Obs
18,2.5e-09,50.9275822840744
18,7.905e-09,60.2519573095715
18,7.905e-09,109.393970660191
18,7.905e-09,119.214533143959
18,1.25e-08,158.503679809021
18,1.75e-08,239.677052310136
18,2.5e-08,280.27812405393
18,3.95e-08,360.950157072519
18,3.95e-08,385.568421164812
18,3.95e-08,408.4274775349
18,7.9e-08,544.832254173643
18,1.25e-07,565.049042067055
18,1.25e-07,586.553039033363
18,1.25e-07,645.094106813239
18,1.7675e-07,575.142095415249
18,2.5e-07,624.720808551611
18,7.905e-07,680.496456450652
18,2.5e-06,663.003556762286
