t,epo_level,p12EpoRpJAK2_Obs,CISnRNA1_Obs
46,2.5e-09,0.0391552491327206,96.06312773175
46,2.5e-09,0.0406978240374182,43.8382768675115
46,2.5e-09,0.0410631138960725,66.0889814722047
46,2.5e-08,0.0346016798498924,460.967008145166
46,2.5e-08,0.0369568972567417,418.174960247097
46,2.5e-08,0.0374629831301143,458.935146652438
46,1.25e-07,0.027134796544792,752.021384770542
46,1.25e-07,0.0287782648015092,704.732353172488
46,1.25e-07,0.0309401046778734,696.893455711267
46,2.5e-07,0.024270130655625,704.764079285508
46,2.5e-07,0.0267896466137448,750.580043781907
46,2.5e-07,0.0272824097348993,676.304313593298
46,2.5e-06,0.014202092760266,779.603834016843
46,2.5e-06,0.0173857946849027,767.286342840256
46,2.5e-06,0.0174335561801038,744.397860823723
