t,p12EpoRpJAK2_Obs,pSTAT5_Obs,CISnRNA1_Obs,Compound_1_Obs
0,0.00190792755561275,0.303816030722778,-9.42070382748691,408.658022318009
9.5,NaN,NaN,14.9160649664153,NaN
10,0.00727832002470111,NaN,NaN,393.295609134218
15,NaN,9.97728795067155,NaN,NaN
20,NaN,NaN,86.9087920020479,NaN
25,0.0663415510706431,NaN,NaN,507.138975428725
30,NaN,12.9065049987362,145.811028589153,NaN
40,0.0380682461673205,NaN,198.322739290631,549.029060062682
45,NaN,15.910562708152,NaN,NaN
50,NaN,NaN,206.61137258876,507.911637307644
55,0.0257977339310669,NaN,NaN,NaN
60,NaN,14.4579604817583,233.458082984958,NaN
70,0.0250803067417996,NaN,NaN,595.345751191736
75,NaN,NaN,219.671980043385,NaN
80,NaN,14.0089939383764,NaN,NaN
85,NaN,NaN,NaN,540.715345625911
90,0.0191468013834285,NaN,235.244244311486,NaN
100,0.0198175938028303,13.1908392566388,230.035873778237,574.935843787709
150,0.0162485246864941,12.2872415027576,217.37606174321,631.241070114358
200,0.0144046532191186,11.3134156234256,203.294468540101,618.396782612162
250,NaN,11.2925653585055,187.774386978255,550.560531345156
300,NaN,11.4258839974046,187.73332989476,574.407838695705
