t,epo_level,pSTAT5_Obs
32,2.5e-09,45.2955155213681
32,2.5e-09,45.7740467878386
32,2.5e-09,43.0743604841588
32,2.5e-08,47.4407528189566
32,2.5e-08,44.1655655763261
32,2.5e-08,46.1826222669883
32,1.25e-07,44.3049794826378
32,1.25e-07,48.8655665566968
32,1.25e-07,44.780318913603
32,2.5e-07,46.572112637313
32,2.5e-07,44.4977533302081
32,2.5e-07,41.446248149921
32,1.25e-06,26.1006235398698
32,1.25e-06,25.9685012144722
32,1.25e-06,27.9616227588758
32,2.5e-06,6.63026883306372
32,2.5e-06,5.17951629447088
32,2.5e-06,1.17401130554627
