t,p12EpoRpJAK2_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA4_Obs,Compound_4_Obs
0,-0.00856041800870465,1.45900227643591,-16.0673650794602,-14.1634921206787,-128.998125923847
4,0.302608408863565,NaN,NaN,NaN,NaN
5,NaN,NaN,26.0697192163216,NaN,NaN
7.5,NaN,63.0200156555459,NaN,NaN,NaN
8.5,0.40876263763042,NaN,NaN,-2.32965393457364,186.658456786095
10,NaN,NaN,242.385265574443,NaN,NaN
15,0.150918490913858,54.7229713570396,460.444927659879,46.6134938079351,NaN
20,0.0856354340769795,NaN,624.039681836136,NaN,1358.16492670923
25,0.0624124083762621,49.3309127398712,NaN,245.665821642405,1835.00809040982
30,0.0513028438487208,44.2092759668406,742.523150193384,NaN,NaN
35,NaN,NaN,760.788679969735,472.254031762192,2331.8131212755
40,0.0419351493648423,40.4058395385919,NaN,NaN,NaN
45,NaN,NaN,659.108070645543,626.662783483354,2512.50752886674
50,0.0256427447095085,33.1627907802253,646.394024946065,NaN,NaN
60,NaN,29.5693869589629,NaN,698.379517590303,2619.61580823168
65,NaN,NaN,595.056926426586,NaN,NaN
70,NaN,NaN,NaN,643.97139515644,NaN
75,NaN,27.9593354650608,523.77386847856,NaN,2317.5290692964
85,NaN,NaN,NaN,556.40465005456,NaN
90,NaN,20.8077535078986,458.184013799624,NaN,2069.8159913732
100,NaN,21.0549775864678,388.712528354325,472.993640008037,1756.34435753092
150,NaN,13.7230412010838,289.900898823582,275.11671134565,953.104607860495
200,NaN,13.7994907427621,NaN,276.939781180134,880.723902853318
