t,p12EpoRpJAK2_Obs,pSTAT5_Obs,CISnRNA1_Obs,Compound_1_Obs
0,-0.000135226061485947,0.054388298792164,-2.54392038247325,182.749508326998
8,0.023850933004112,NaN,NaN,NaN
9,NaN,1.34233510420744,NaN,NaN
10,NaN,NaN,2.43163027716064,183.368245474334
15,0.0387081280459244,NaN,NaN,NaN
20,NaN,2.11591125282781,14.2956352538642,209.308027009011
25,0.0122022576922094,NaN,NaN,NaN
30,NaN,2.05224575710138,NaN,204.052674092485
35,0.00675923028942379,NaN,29.447251453132,NaN
40,NaN,2.16636000660932,NaN,NaN
45,0.00438294981415227,NaN,NaN,226.780028544838
50,NaN,2.05806880861174,33.7792730984086,NaN
55,NaN,NaN,NaN,232.139017867524
60,0.00326395134862208,2.0625896326718,32.7931347915699,NaN
70,NaN,NaN,NaN,212.998356102361
75,0.00274425237349687,2.01641248692162,NaN,NaN
80,NaN,NaN,32.1986138669613,NaN
90,0.000601950691879504,1.97459783514931,NaN,215.769995595962
100,NaN,1.74461754079353,30.8863529743178,231.42842898222
150,NaN,1.50314115699399,24.0887383088156,211.054389034605
200,NaN,1.46847076643427,22.6434851997987,212.899265882079
