t,AC_Obs,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,RIIp_2_Obs,RII_C_2_Obs
0,1.05151410225379,-0.00303230461024017,0.239727990964335,0.000470526640568485,0.00114103273224703,0.0571265517601908,0.103103449753032,0.690135286964752
7,NaN,0.00122198097634267,NaN,NaN,NaN,NaN,NaN,NaN
7.5,1.11767248674972,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,0.241522527472269,NaN,0.00215512364252247,NaN,0.0899572202882785,NaN
15,0.866519673929257,-0.00703490900746163,NaN,0.00061635692280221,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,0.0064225985593411,NaN,NaN,NaN
25,0.87092146752769,0.00103076797917257,0.260546821421843,NaN,NaN,0.0561300223782154,0.0592691568103958,0.672561410792285
30,NaN,-0.0155677361004746,NaN,0.000693116515743183,NaN,NaN,NaN,NaN
35,1.00974207161969,NaN,0.280105222638661,NaN,0.00175745878933471,NaN,0.108879748258136,NaN
40,NaN,-0.00342186590531366,NaN,NaN,NaN,NaN,NaN,NaN
45,1.34223402389985,NaN,NaN,0.000284935878680455,0.00566295274835413,NaN,NaN,NaN
50,NaN,NaN,0.280446596977608,NaN,NaN,0.0569817754306954,0.0812173086199112,0.627978229295031
55,NaN,0.0121932998234606,NaN,NaN,NaN,NaN,NaN,NaN
60,0.883835902366859,NaN,NaN,NaN,0.00929822387703231,NaN,NaN,NaN
65,NaN,NaN,0.0636831587823416,0.00940996145050285,NaN,NaN,0.151807001477563,NaN
70,NaN,0.265020949988753,NaN,NaN,NaN,NaN,NaN,NaN
75,0.684097766703142,NaN,NaN,NaN,0.0891974683681747,0.0478254653230903,NaN,0.582061878005346
85,NaN,0.264477836250037,0.0383064765664297,0.00501009721946446,NaN,NaN,0.234250799719911,NaN
90,0.58944722696821,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,0.0625831514057432,NaN,NaN,NaN
100,0.979598142124982,0.252603410043486,0.0309488842267531,0.00454635749980423,0.0629127968034233,0.0439568657519287,0.226589972404051,0.694535513647784
150,NaN,NaN,0.0379510980296311,0.00504426041562994,0.0660985931982262,0.0526976674638,0.205744573595515,0.646496257677689
200,NaN,NaN,NaN,NaN,NaN,0.0816614895190497,NaN,0.598928375657157
250,NaN,NaN,NaN,NaN,NaN,0.0812524184522987,NaN,0.655747895815108
300,NaN,NaN,NaN,NaN,NaN,0.113316644379657,NaN,0.661891868392359
350,NaN,NaN,NaN,NaN,NaN,0.11023563705676,NaN,0.576203781338182
450,NaN,NaN,NaN,NaN,NaN,0.132341630342251,NaN,0.442722332497928
