t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,RIIp_2_Obs,RII_C_2_Obs,Csub_H89_Obs
0,0.0207984069889395,0.25766825057694,0.000406927790830857,0.0066083392304392,0.0485377411276923,0.0716174904784893,0.588545388358328,-0.0112100520164526
10,0.0910185152647538,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,0.0610869756575638,NaN,0.0157879005644305
25,-0.0928584399576751,0.275832729288172,NaN,NaN,0.0422805387316969,NaN,0.548080152622518,NaN
30,NaN,NaN,0.000383326002910176,0.00671912633585084,NaN,NaN,NaN,NaN
35,0.158823344196457,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0502809207736655
45,NaN,NaN,NaN,NaN,0.0572091562382668,0.0842785998506348,NaN,NaN
50,0.133241722480674,0.23057733275074,NaN,NaN,NaN,NaN,0.60306378123663,NaN
60,NaN,NaN,0.000517518684821198,0.00649727715326827,NaN,NaN,NaN,0.0579540220463463
65,-0.0513907349991961,NaN,NaN,NaN,NaN,0.0713144232753927,NaN,NaN
70,NaN,NaN,NaN,NaN,0.0875979457321637,NaN,NaN,NaN
75,NaN,0.262145885614938,NaN,NaN,NaN,NaN,0.520553321220141,NaN
80,0.243201830450155,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0860231682448312
90,NaN,NaN,0.000493486981617726,0.00627886851330866,NaN,0.0671560705395798,NaN,NaN
95,NaN,NaN,NaN,NaN,0.0732004328032916,NaN,NaN,NaN
100,-0.207731769310796,0.265763364072229,NaN,NaN,NaN,0.0789759216066909,0.540577998642274,0.106058772517222
150,-0.0550839343379776,0.227135938485511,0.000377369805321798,0.00567168329401217,0.0830917618663135,0.0752659464792303,0.619545773521745,0.123942051573099
200,NaN,0.238914967383534,0.000392896956170597,0.00610904171404025,0.141428476855555,0.0678474007312648,0.557383664296272,0.170902523107129
250,NaN,NaN,NaN,0.00542683139445393,0.161838861049439,0.0673342002405402,0.546593460987628,0.197794145597924
300,NaN,0.203630842158394,0.000418495344472368,NaN,0.166583764239325,0.0692550260212493,0.404815539477753,0.217519212372537
350,NaN,0.248477677838448,0.000303622717290525,0.00504164188624003,0.192608589021679,0.0648909819230934,0.392977128903969,0.207624612720318
450,NaN,0.171805291636661,0.00031587402172468,0.00517391734836838,0.250095393770184,0.0656456869493382,0.562843575824136,0.27673977912145
