t,AC_Obs,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,RIIp_2_Obs,RII_C_2_Obs
0,1.0161877094124,-0.0042047436712494,0.250116653161271,0.000480921713600189,0.0155798325666104,0.0449661033772879,0.0917678214399097,0.756185491040033
3,NaN,NaN,0.244843472499862,NaN,NaN,NaN,NaN,NaN
5,0.944373442737474,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,0.05061587435966,NaN,NaN
6.5,NaN,NaN,0.252161492340869,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,0.000380470489167665,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,0.0610531601875953,NaN
8,NaN,NaN,NaN,NaN,0.00843110807258202,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.598699158413767
10,0.973603086946726,0.0457841987305926,0.255857070716668,NaN,NaN,0.057316781338251,NaN,NaN
15,0.398556307517672,NaN,0.0613278293088194,0.0112732197860747,0.159171934367492,NaN,0.175716605088542,0.505074987155438
20,0.508809107074733,NaN,0.039605953567743,0.00782871965482541,NaN,0.048112154197142,NaN,NaN
25,NaN,0.603878082599773,0.0141490426925123,NaN,0.0999865763113127,0.0428512428110255,0.221174738043134,0.635806161936071
30,0.525532964747267,NaN,0.0131784328842132,0.00540836422123696,NaN,NaN,0.234015742190514,NaN
35,0.408475344618502,NaN,0.0146314628599706,NaN,0.0826463219812779,0.0399707787220911,NaN,0.571824160252678
40,NaN,0.606596907089286,NaN,0.00575697620328376,NaN,NaN,0.214490222187558,NaN
45,0.50627530705219,NaN,0.00126541770129988,NaN,0.077282904207785,0.0399563103577209,NaN,0.582007692723866
50,NaN,0.517096830483789,NaN,0.00508229073606353,NaN,NaN,NaN,NaN
55,0.394768728933337,NaN,NaN,NaN,0.0763689126495569,0.0454378085581,0.23198275544999,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.629060746834619
65,0.370102054845929,0.604493874817183,NaN,0.00467655327142148,NaN,NaN,0.186506766228233,NaN
70,NaN,NaN,NaN,NaN,0.0616879220204023,0.0393337435534126,NaN,NaN
75,0.429488857927662,NaN,NaN,0.00447708715884514,NaN,NaN,NaN,0.715757470245328
80,NaN,NaN,NaN,NaN,NaN,NaN,0.258770364105529,NaN
85,NaN,0.580595580785908,NaN,NaN,NaN,0.0377637525216729,NaN,NaN
90,NaN,NaN,NaN,NaN,0.0833134901311754,NaN,NaN,0.560247699721889
95,0.4589635466929,NaN,NaN,0.00588438407453801,NaN,NaN,NaN,NaN
100,NaN,0.588688882654991,NaN,0.00450857519116925,0.0838381400271613,NaN,0.238263477988341,0.629562381360627
150,NaN,0.460112411736314,NaN,NaN,0.0731878876074565,NaN,NaN,0.725035492154508
200,NaN,0.509401940673681,NaN,NaN,NaN,NaN,NaN,NaN
250,NaN,0.626948755484864,NaN,NaN,NaN,NaN,NaN,NaN
