t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,RIIp_2_Obs,RII_C_2_Obs,Csub_Obs
0,0.165441754796554,0.268896788656467,0.000418891258668305,-0.00257794243492109,-8.71299808219144e-05,0.00645702482065397,0.0573624885152497,0.0552681245716866,0.648011169379299,0.132215331782975
3.5,NaN,0.0610656002942798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,8.7311236324285e-05,NaN,NaN,0.00104065677492055,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.147676973581066,NaN,NaN
6,NaN,NaN,NaN,0.157842896549563,NaN,NaN,NaN,NaN,NaN,0.218097196185478
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.640839699804921,NaN
7.5,NaN,0.0268172782782071,NaN,NaN,0.00137889223817693,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,0.0470010109437809,NaN,NaN,NaN
10,-0.0156865349559623,0.0272093038295542,4.8612621999866e-05,NaN,NaN,0.000710220668080659,NaN,0.244494176721183,NaN,0.228855727699518
15,NaN,0.0221165990828021,3.82736731393902e-05,0.102637433969227,0.000970211165612139,0.000337310174859249,0.0425543830423508,0.252911751884982,0.687266815176704,NaN
20,NaN,0.00614943087977439,NaN,0.091588656174275,NaN,NaN,NaN,NaN,NaN,0.263906745466323
25,-0.0252919132961733,NaN,3.44284840322718e-05,0.0816582373165961,0.000792652967006999,0.0004076531971582,0.0269736983795603,0.263134781767493,0.525786520494125,0.332598654842329
30,NaN,0.0127646477297809,1.4479473608663e-05,NaN,NaN,0.000105672906310192,NaN,0.217776817159383,0.639597857954386,NaN
35,0.0539226593365132,0.0129312405024596,NaN,0.0929834042955158,0.000673119430319369,NaN,0.0390783890410124,0.238128934169469,NaN,0.309940544595183
40,NaN,NaN,2.70685418381319e-05,NaN,NaN,5.42864549222472e-05,NaN,NaN,0.5949763238555,0.321585773006165
45,NaN,NaN,NaN,0.0713546693776188,0.000867903290156802,NaN,NaN,0.245290039040657,NaN,NaN
50,-0.0653931940781141,NaN,NaN,NaN,NaN,NaN,0.0454438974821936,NaN,NaN,0.264964644660292
55,NaN,NaN,NaN,0.0725559432844998,0.00064047971964721,NaN,NaN,0.182692062289407,0.701377803708055,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,0.0367158659593513,NaN,NaN,NaN
65,0.137897779213253,NaN,NaN,0.0676293585958142,NaN,NaN,NaN,0.22507645989239,0.529719510529561,0.247978199162362
70,NaN,NaN,NaN,NaN,0.000837524166100226,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.288633918335533
80,NaN,NaN,NaN,0.0732630087626651,NaN,NaN,NaN,0.25217092616977,NaN,NaN
85,0.034943274075773,NaN,NaN,NaN,0.00060040427386244,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,0.0713759766587209,NaN,NaN,NaN,NaN,NaN,0.241556128102727
100,0.20202955894402,NaN,NaN,0.0887094470324939,0.0006491922805449,NaN,NaN,NaN,NaN,NaN
