t,AC_Obs,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,RIIp_2_Obs,RII_C_2_Obs
0,1.12993381455421,-0.00839267151159033,0.252675932579697,0.000587437214297946,0.00345230702501951,0.0588498920968716,0.0997744750213672,0.577877867562472
7,NaN,0.00849701513932826,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,0.2226686505627,NaN,NaN,NaN,NaN,NaN
8,1.03782305542153,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,0.0772069940496579,NaN
10,NaN,NaN,NaN,NaN,NaN,0.0558608137462468,NaN,NaN
15,1.00689083769243,0.0133417697368467,0.212589605355242,NaN,NaN,NaN,NaN,0.609611140381635
20,NaN,0.0110496052161351,NaN,-3.21771813364426e-06,0.00602193604859145,0.0514280531390785,0.0754201519957684,NaN
25,1.04437067131062,NaN,0.253537938379888,NaN,NaN,NaN,NaN,0.666445517015853
30,NaN,0.000206260593665625,NaN,NaN,NaN,NaN,0.0774088805122262,NaN
35,1.00144784361073,NaN,0.255154191362895,-1.09492184349325e-05,NaN,0.0477066457651545,NaN,NaN
40,NaN,-0.00398282793129599,NaN,NaN,NaN,NaN,0.073974286030755,0.725539393329353
45,NaN,NaN,0.241037573408242,NaN,-0.00273032403370098,NaN,NaN,NaN
50,0.999344856985611,0.00357863151216569,NaN,NaN,NaN,0.0672976087417703,NaN,NaN
55,NaN,NaN,0.258754506861845,0.000660456896458922,NaN,NaN,0.0739934965031094,0.67748787576148
60,NaN,-0.0110131413371182,NaN,NaN,NaN,0.0519434591177347,NaN,NaN
65,0.614622379109831,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,0.0729980911877743,NaN,0.0996781962173973,NaN,0.178441036509873,0.585836722138506
75,NaN,0.257935391534326,NaN,0.00595088801733423,NaN,NaN,NaN,NaN
80,0.660923664850174,NaN,NaN,NaN,NaN,0.0443391285581406,NaN,NaN
90,NaN,0.261480816558461,NaN,NaN,NaN,NaN,0.246631599329447,0.657391248008027
95,NaN,NaN,NaN,NaN,0.0656650415855052,NaN,NaN,NaN
100,0.70456627033221,0.264489988478,NaN,0.00453480745997145,0.0744783809645793,0.0481206251341136,NaN,0.573950565425301
150,NaN,NaN,NaN,0.00431821449086341,0.064332930595846,0.0435717643837233,NaN,0.683202718286469
200,NaN,NaN,NaN,0.00505133396606765,0.0781800651381077,0.0433904822311909,NaN,0.665691733925722
250,NaN,NaN,NaN,0.00485184482510503,0.064686786042865,NaN,NaN,0.667261377736959
300,NaN,NaN,NaN,0.00441989708774805,0.0694638963750766,NaN,NaN,NaN
350,NaN,NaN,NaN,0.00469184676172984,0.0591031944696926,NaN,NaN,NaN
400,NaN,NaN,NaN,0.00416715833113834,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,0.0639018625305836,NaN,NaN,NaN
