t,AC_Obs,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,Rp_cAMPS_Obs,RIIp_Rp8_Br_cAMPS_C_2_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,pPDE_Obs,RIIp_cAMP_C_2_Obs
0,1.18209290437899,0.0038382582904552,0.295264738535556,0.000448303568339136,-0.0428535114674003,0.198286484803942,0.121853858204831,-0.0495891290654726,-0.00246971110270801,0.00793076106791734
7,1.24895352515605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0171606053641941,NaN,NaN
9.5,NaN,NaN,NaN,NaN,0.0351793224723113,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,0.102730351877514,NaN,NaN,0.0056078015335754,NaN
15,1.00099237776449,NaN,NaN,0.000433487185536337,NaN,NaN,-0.0914382277505519,NaN,NaN,0.00652840216554713
20,NaN,-0.00176439180796201,NaN,NaN,-0.0151441658422283,NaN,NaN,-0.0170853864938018,NaN,NaN
25,0.879195413354506,NaN,NaN,NaN,NaN,0.147526832449683,NaN,NaN,0.173584709500519,0.00728372183663441
30,1.0256501015433,NaN,0.242645837060339,0.000402150444598492,0.0805720783919787,NaN,0.150706493940177,-0.0825932493791391,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,-0.0316996199506248,NaN,NaN,-0.00650785506763539,NaN
40,1.21696050211282,NaN,NaN,NaN,-0.0484821492129589,NaN,NaN,-0.127073118581203,NaN,0.00711195115035495
45,NaN,0.119977633931968,NaN,0.000458144784080914,NaN,NaN,0.137998185385555,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,0.0635047353818079,NaN,-0.0711037977057172,-0.101425653684518,NaN
55,0.99328189879036,NaN,NaN,NaN,0.020602051906509,NaN,NaN,NaN,NaN,0.00625087586199013
60,NaN,NaN,NaN,0.000368871690986165,NaN,NaN,-0.0156930671978777,NaN,NaN,NaN
65,NaN,0.207353509770713,0.262065068712842,NaN,NaN,-0.060105639017548,NaN,-0.110001185132004,0.158875611777133,NaN
70,NaN,NaN,NaN,NaN,0.125946303589197,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00643304548647165
80,NaN,NaN,NaN,0.000409566939596041,NaN,NaN,-0.0312694397596758,0.0285225996706975,NaN,NaN
85,NaN,NaN,NaN,NaN,0.0850078381871588,-0.0633129939091092,NaN,NaN,0.0662200305422305,NaN
90,NaN,0.0687354384879745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00641150782601566
100,NaN,-0.121019148602787,0.21932818221664,0.000452357260007918,0.103148509583892,0.0947860584067356,0.195333965708805,-0.060227466975098,-0.0499629726183577,0.00626443914211412
150,NaN,0.0323355729017739,0.26997073510373,0.000498168182899443,0.104841599130359,-0.0866238922735063,0.154035819239484,NaN,0.0182295386450185,0.00696747596599079
200,NaN,-0.103045028603524,0.23564317147429,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250,NaN,0.00188303600481951,0.254688557369367,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300,NaN,0.19606657523401,0.219579123547817,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350,NaN,0.0335672008138891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400,NaN,0.0451129178896995,0.243914973792243,NaN,NaN,NaN,NaN,NaN,NaN,NaN
