t,AC_Obs,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,IBMX_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,RIIp_2_Obs
0,0.980088069480751,0.0501899932157422,0.258168561380726,2.95044927376705e-05,7.8611089787682,0.0399865277462768,0.0525688189401908,0.0847307163372261
0.15,0.465414462396117,0.581348548610521,NaN,NaN,109.08829341861,NaN,NaN,NaN
0.3,NaN,NaN,NaN,NaN,113.189407259598,NaN,NaN,NaN
0.35,0.410153067198089,0.474813389845146,NaN,NaN,NaN,NaN,NaN,NaN
0.45,NaN,NaN,NaN,NaN,101.110684763178,NaN,NaN,NaN
0.5,0.493912471413184,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.55,NaN,0.517666003550205,NaN,NaN,NaN,NaN,NaN,NaN
0.65,NaN,NaN,NaN,NaN,100.862788395686,NaN,NaN,NaN
0.7,0.407833363754399,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.75,NaN,0.528391180357901,NaN,NaN,NaN,NaN,NaN,NaN
0.85,NaN,NaN,NaN,NaN,108.561875388662,NaN,NaN,NaN
0.95,0.431536920852502,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,NaN,0.538647644178929,NaN,NaN,99.1703306518034,NaN,NaN,NaN
1.5,0.329831861547822,0.559401486184805,NaN,NaN,91.7035545322661,NaN,NaN,NaN
2,NaN,NaN,-0.002050780177514,NaN,NaN,NaN,0.0437667268658309,NaN
2.5,NaN,NaN,NaN,0.0150169536292816,NaN,0.195104904173953,NaN,0.098066022891198
3.5,NaN,NaN,0.0117857225207269,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,NaN,NaN,0.0458568513119164,NaN
4.5,NaN,NaN,NaN,0.0113986857094014,NaN,NaN,NaN,0.112163830645681
5.5,NaN,NaN,0.000437584575976845,NaN,NaN,0.170884764468987,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,0.0422128506967995,NaN
7.5,NaN,NaN,NaN,0.0114798998940482,NaN,NaN,NaN,0.153210108137714
8,NaN,NaN,0.00844345897634966,NaN,NaN,0.144033832243985,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,0.0506046741394079,NaN
10,NaN,NaN,0.00345795945080629,0.00784384455311073,NaN,0.125091099485976,0.0416269643703074,0.221229193828531
15,NaN,NaN,0.000266534918036114,0.00431331653949171,NaN,0.107990483635661,0.0345966465720153,0.233602885147063
20,NaN,NaN,0.00355912936772836,0.00587592855146594,NaN,0.089420187769798,0.0448742109046186,0.257987843763791
25,NaN,NaN,NaN,0.00581108770894911,NaN,0.0720614404509553,0.0399638625106239,0.241377841238639
30,NaN,NaN,NaN,0.00423234268770606,NaN,0.0751061866268983,0.0379153464254954,0.237554874542621
40,NaN,NaN,NaN,0.00548702032901253,NaN,0.0891503657763659,0.0475185048037878,0.288336120207066
