t,AC_Obs,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_2_Obs,RII_C_2_Obs,Csub_H89_Obs
0,1.10573794790997,0.00289912702250451,0.290951766555679,-0.000191205015792438,0.00557457166411414,0.0869231204979902,0.505947811048432,0.038088376569559
6.5,NaN,0.00200780931988753,NaN,NaN,NaN,NaN,NaN,NaN
9.5,0.869504499414394,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,0.253280678557366,NaN,NaN,NaN,NaN,NaN
15,NaN,-0.0179571873127812,NaN,0.000166570718893444,-3.68314261179883e-05,NaN,NaN,NaN
20,1.03115105725279,0.0115260402019068,NaN,NaN,NaN,0.0476809639192725,NaN,-0.00142338915031686
25,NaN,NaN,0.241119052005753,NaN,0.00292956268613856,NaN,0.644355045056739,NaN
30,0.908962611227249,-0.00781339139927212,NaN,-8.85400345679831e-05,NaN,NaN,NaN,NaN
40,0.818154884785301,0.00707568081113296,0.283838511904432,NaN,0.0075995290846352,NaN,NaN,0.0540111897232473
45,NaN,NaN,NaN,0.000185316734059529,NaN,0.0869870927247639,NaN,NaN
50,NaN,0.00206780630435059,NaN,NaN,NaN,NaN,0.697502895942246,NaN
55,0.976383200020505,NaN,0.232869713066532,NaN,NaN,NaN,NaN,NaN
60,NaN,0.0015508178973338,NaN,NaN,0.00247611263017023,NaN,NaN,0.0686674590175395
65,NaN,NaN,NaN,0.00932522306757886,NaN,0.146671638737247,NaN,NaN
75,0.623566491641809,0.263159483954382,0.0463072073985152,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.0765363008994761,NaN,0.568339113096755,NaN
85,NaN,NaN,NaN,0.00431297048855699,NaN,NaN,NaN,0.125921305161036
90,NaN,0.274500695550366,NaN,NaN,NaN,0.202631045051801,NaN,NaN
95,0.83883939039588,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.751405946921997,0.267602126395165,0.0395612853129892,0.00455373417661662,0.0664982043156676,0.233783420976233,0.513856465898985,0.133024689667053
150,NaN,NaN,-0.0123277834582657,0.00387920060894281,0.0569497854215499,0.225063849789808,0.674010755180088,0.204997105073087
200,NaN,NaN,NaN,NaN,NaN,0.196510726960131,0.501272730953654,0.2506496987925
250,NaN,NaN,NaN,NaN,NaN,0.193944807863599,0.63546879447994,0.270617280082407
300,NaN,NaN,NaN,NaN,NaN,0.217951332642294,0.521189560789767,0.316954706186379
350,NaN,NaN,NaN,NaN,NaN,0.164898557355575,0.616775897015541,NaN
400,NaN,NaN,NaN,NaN,NaN,0.166007223860637,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,0.449479104418575,NaN
