t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,IBMX_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,RIIp_2_Obs,RII_C_2_Obs
0,-0.0120246246399467,0.304925404807743,-6.33214198677152e-06,-4.49583583399682,0.00401950479192958,0.0590397698098945,0.0569741129974516,0.648571586697723
2.5,NaN,NaN,NaN,109.57831696324,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,80.9535941656345,NaN,NaN,NaN,NaN
7.5,NaN,0.184709157252124,NaN,NaN,NaN,0.049524126121217,NaN,NaN
8,NaN,NaN,NaN,95.4377892669772,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.61550022754914
9,NaN,NaN,NaN,NaN,0.0695536854680207,NaN,NaN,NaN
9.5,-0.0413321760009638,NaN,0.00470908160802301,NaN,NaN,NaN,0.124744024732542,NaN
10,NaN,NaN,NaN,96.8867007792963,NaN,NaN,NaN,NaN
15,NaN,0.154142686980866,NaN,83.4949594627784,NaN,0.0527242603352387,NaN,0.585326051554066
20,-0.0165002101190927,NaN,0.00389930375656292,94.2252223315408,0.0497231036713897,NaN,0.146279415582609,NaN
25,NaN,0.142630518164247,NaN,100.704939419423,0.0454939229262422,0.0438803660625791,NaN,0.67117064141068
30,-0.0820768929769709,NaN,0.00292812100521802,112.176510524203,NaN,0.0356694687688696,0.19151339323869,NaN
35,NaN,0.147575123001653,NaN,NaN,NaN,NaN,NaN,0.656673210866668
40,NaN,NaN,NaN,NaN,0.0404939468955616,NaN,NaN,NaN
45,-0.106587022444586,NaN,0.00315148657746594,NaN,NaN,0.0388939081492696,0.173787616376947,0.555101440338943
50,NaN,0.1123629881965,NaN,NaN,0.0459123676761979,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,0.0342042985283797,0.167429297699984,NaN
60,0.00450499897171998,0.101664863278861,0.00216893817182908,NaN,0.0435235008525634,NaN,NaN,0.668387504376418
70,NaN,NaN,NaN,NaN,NaN,0.0535725108738395,NaN,NaN
75,0.191780209833514,NaN,0.00294895279897946,NaN,NaN,NaN,0.153482777498156,0.657108668306803
80,NaN,NaN,NaN,NaN,0.0457671409910433,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.647831291353179
95,-0.0583473637897675,NaN,NaN,NaN,0.0489429165843082,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,0.0403339283049727,NaN,NaN,0.661418741476304
150,NaN,NaN,NaN,NaN,0.0498923117864164,NaN,NaN,0.56335664977206
