t,AC_Obs,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,RII_C_2_Obs,Csub_H89_Obs
0,1.0453016755581,-0.0040830362183003,0.288008968822524,0.000134768650785859,0.0089239798300223,0.0479303056795536,0.519686710285579,0.00309837084730169
6,NaN,-0.0133381290031133,NaN,NaN,NaN,NaN,NaN,NaN
7.5,1.05613487802987,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,0.00583066400129907,NaN,NaN,NaN,NaN,NaN,NaN
15,1.09361064587233,NaN,0.273780383656249,0.000516489434951035,-0.00359699005246686,NaN,NaN,NaN
20,NaN,0.00133138537335604,NaN,NaN,NaN,0.0578482791747864,0.681768458776443,NaN
25,1.04383878142408,0.00661174989762229,0.251248773292804,NaN,NaN,NaN,NaN,0.0116470793371707
30,NaN,NaN,NaN,0.000961003254194012,-0.00425503163301901,NaN,NaN,NaN
35,0.958477501063044,0.00977878612383695,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,0.318018959385354,NaN,NaN,0.0519533061817917,NaN,NaN
45,1.02192493294656,0.00746494023360589,NaN,0.000633352583679264,0.00256935731095043,NaN,0.594185630602176,0.0114541784877401
55,NaN,-0.00954668124281574,NaN,NaN,NaN,NaN,NaN,NaN
60,0.953799950207464,NaN,0.272472295548856,0.000585654900011599,NaN,NaN,NaN,NaN
65,NaN,0.260088724359778,NaN,NaN,0.136236958632822,0.0465397823757888,0.706743522065238,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0287279726097754
75,0.746479273018999,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,0.0505742126763996,0.00534422072079617,NaN,NaN,NaN,NaN
85,NaN,0.273659575956984,NaN,NaN,0.0685802040743765,0.0354469062039266,NaN,NaN
90,0.73558306089319,NaN,NaN,NaN,NaN,NaN,0.596222310845427,NaN
100,0.687179006537622,NaN,0.0267326560001887,0.00488045551879844,0.0598997490128685,0.0491789813300561,0.627035580625055,0.0306026370833884
150,NaN,NaN,0.0117086817109276,0.00419729467508206,0.0670335153987389,0.0478492379924764,0.470698145564703,0.065878674651875
200,NaN,NaN,NaN,NaN,0.0615758337549488,0.0491592636417134,0.703571518372503,0.0797105030959053
250,NaN,NaN,NaN,NaN,NaN,0.0593910438773614,0.623966454722898,0.0911543275615844
300,NaN,NaN,NaN,NaN,NaN,0.0629202225313259,0.586043345116132,0.114588467029957
350,NaN,NaN,NaN,NaN,NaN,0.0554724344552934,0.594565309102417,0.127047403237837
450,NaN,NaN,NaN,NaN,NaN,0.0728185874242915,0.541413615999128,0.13778969418605
