t,AC_Obs,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,IBMX_Obs,RII_2_Obs,RIIp_2_Obs,RII_C_2_Obs
0,1.00982355806373,-0.0699825424383625,0.256269166318397,0.000666071245651952,1.68912155658424,0.0572166282972805,0.0803353135711795,0.627785144431284
3,NaN,NaN,NaN,NaN,93.9149637944531,NaN,NaN,NaN
4,NaN,NaN,0.186827360976654,NaN,NaN,NaN,NaN,NaN
4.5,0.945520621107383,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,88.2046354101338,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,0.0520965028651773,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,0.099685482056684,0.633528859512965
7.5,NaN,NaN,0.171515880253618,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,0.00386966656537931,NaN,NaN,NaN,NaN
9,1.05301653044037,0.00184804263735603,NaN,NaN,95.5786821970584,NaN,NaN,NaN
10,NaN,NaN,0.159564208886371,NaN,101.794719025395,NaN,NaN,NaN
15,0.390411966779669,NaN,-0.0115721336602317,0.0104983711391439,99.8877170657434,0.0408028751803355,0.186575141290965,0.52843747958783
20,0.450320477860892,0.551004770336307,-0.00245059443862802,NaN,97.618059771117,0.0423473875081576,0.28074384386717,NaN
25,0.37308085182176,NaN,-0.00324826592523828,0.00572113076554272,98.3713074316145,0.0420012848879462,NaN,0.713024967092838
30,0.412190205081369,0.537707960643333,-0.00293831812812455,NaN,NaN,NaN,0.259982549895475,0.634038539133331
35,0.588983442861508,NaN,NaN,0.00558863195446713,NaN,0.0418764064513204,NaN,NaN
40,NaN,0.571910901119052,0.00465340172238025,NaN,NaN,NaN,0.2427931562207,0.578687483097604
45,0.467601961501292,NaN,-0.0104128909141005,0.00531966685144242,NaN,0.0432799300820701,NaN,NaN
50,NaN,0.454965794655386,NaN,NaN,NaN,NaN,0.250810635970937,NaN
55,0.4239927601478,NaN,-0.00476362557231391,NaN,NaN,0.037313919064409,NaN,0.53928082191354
60,NaN,0.560045291445987,NaN,0.00449503036224363,NaN,NaN,NaN,NaN
65,0.412781822398786,NaN,-0.00137298434747322,NaN,NaN,NaN,0.240444966467678,0.692865331988395
70,NaN,NaN,NaN,NaN,NaN,0.0375086840880708,NaN,NaN
75,0.501686752166667,0.59765464021252,NaN,0.00449481807456914,NaN,NaN,0.216497690882856,NaN
85,NaN,NaN,NaN,NaN,NaN,0.0396977206587585,NaN,NaN
90,0.345050462623418,0.600007624613681,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,0.00444589555185558,NaN,NaN,0.199239848721545,NaN
100,NaN,0.486008747919683,NaN,0.00508969375068309,NaN,NaN,NaN,NaN
150,NaN,0.566197566350788,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,0.594728939196854,NaN,NaN,NaN,NaN,NaN,NaN
