t,AC_Obs,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,RIIp_2_Obs,RII_C_2_Obs
0,1.02050748845971,0.00212513057566759,0.248314865534395,0.000558457738427383,0.00591064872383889,0.0558559351197646,0.08971624094119,0.702186516058328
7,NaN,0.00296926534713542,NaN,NaN,NaN,NaN,NaN,NaN
7.5,1.13462051116132,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.607366293729624
10,NaN,NaN,0.256362932858971,NaN,NaN,0.0565465432913062,0.0813966599033642,NaN
15,0.904870514992556,0.00225472091388008,NaN,NaN,NaN,NaN,NaN,0.689041891660691
20,NaN,NaN,0.275467950458251,NaN,0.00805070775142986,NaN,0.0534369029591823,NaN
25,0.877659072101455,-0.00469848030844215,NaN,0.000774536835451181,NaN,0.0585247291388832,NaN,0.55066880360931
30,NaN,0.00214478793785198,0.242687897777711,NaN,NaN,NaN,NaN,NaN
35,1.14982592039318,NaN,NaN,NaN,0.0076903066033802,0.0492936856617366,0.0984582035687864,NaN
40,NaN,-0.00207869584462401,NaN,NaN,NaN,NaN,NaN,0.784642325227341
45,0.813773145045893,NaN,0.264454799106308,0.000565364134594007,NaN,NaN,0.065233979388942,NaN
50,NaN,0.00388333818465138,NaN,NaN,NaN,0.0528251278917443,NaN,0.521267656080698
55,NaN,NaN,0.286059614107595,NaN,0.00997953376677043,NaN,NaN,NaN
60,1.08824198070612,NaN,NaN,NaN,NaN,NaN,0.0523944791563008,NaN
65,NaN,0.106793743964961,NaN,NaN,NaN,0.0511244656679536,NaN,0.635647247606533
70,NaN,NaN,0.0956394819674713,0.00646554568054949,NaN,NaN,NaN,NaN
75,0.969555205733145,NaN,NaN,NaN,0.077184691871281,NaN,NaN,NaN
80,NaN,0.113959936368095,NaN,NaN,NaN,0.0447793353451039,0.190747880583668,0.650643032791033
90,0.968849495243924,NaN,0.0578685489137757,NaN,NaN,NaN,NaN,NaN
95,NaN,0.106165411118191,NaN,0.00383377170294845,0.0642982485698446,NaN,NaN,NaN
100,0.679998342474303,0.114023847139764,0.0658449352361313,NaN,0.0630921550308388,0.0459479742718183,0.202294257110545,NaN
150,NaN,NaN,0.037358412908942,0.00380330965238461,0.0580693710055911,0.0429311118037382,NaN,NaN
200,NaN,NaN,0.048986295887361,0.00312175928426075,0.0556171418570032,NaN,NaN,NaN
250,NaN,NaN,NaN,0.0032838001098139,0.063846355789014,NaN,NaN,NaN
300,NaN,NaN,NaN,0.00353214315822863,0.0584939958666429,NaN,NaN,NaN
350,NaN,NaN,NaN,0.00390301991501547,0.0603827503580846,NaN,NaN,NaN
450,NaN,NaN,NaN,0.00357993132067061,0.0625632514148679,NaN,NaN,NaN
