t,AC_Obs,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,RIIp_2_Obs,RII_C_2_Obs
0,1.01196143917993,0.036962722950381,0.255208561581773,0.000204728204195584,0.00194772851790633,0.0498810517136234,0.0763826525347953,0.568185163567169
6.5,0.995718557751301,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,-0.00615639786218277,0.225579157377181,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,0.009340904718775,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.634977233369632
10,NaN,NaN,NaN,NaN,NaN,0.055784860820183,NaN,NaN
15,0.985254502883355,-0.0416052380050865,0.27575339608531,NaN,0.00607812161130507,NaN,NaN,NaN
20,0.983167467208579,NaN,NaN,0.000531281149537173,NaN,NaN,0.106695806322249,0.539433901534779
25,NaN,0.0158044880050499,0.275049852139921,NaN,0.00435486286865246,0.0468608063291336,NaN,NaN
30,1.01188348474729,0.00662810644797264,0.272676993517364,NaN,0.00489873179293335,NaN,NaN,0.519977748871679
40,0.967908058116307,-0.00504331834310686,0.228074754087598,NaN,0.0100322909684186,0.0567178066301124,0.0815859044399394,0.612590509567329
45,NaN,NaN,NaN,0.000734822933513455,NaN,NaN,NaN,NaN
50,1.25872604880134,NaN,NaN,NaN,0.00716510261185999,NaN,NaN,NaN
55,NaN,-0.00585092550421038,0.269252809811451,NaN,NaN,0.055948338953758,NaN,0.619003711988004
60,1.04567092896714,NaN,NaN,NaN,0.00235588154052724,NaN,0.0787137181779216,NaN
65,NaN,NaN,0.0206190878695252,0.0102674780524406,NaN,NaN,NaN,NaN
70,NaN,0.557864496377148,NaN,NaN,NaN,0.0426567357745003,NaN,0.71313039650391
75,0.340251193615925,NaN,NaN,NaN,0.0969323912624606,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,0.220575033010989,NaN
85,NaN,0.551270664227957,NaN,NaN,NaN,NaN,NaN,0.720431242973192
90,0.215038353837185,NaN,NaN,0.00509424799464226,0.0761760157336159,0.0481687087665554,NaN,NaN
100,0.459613821466853,0.558669443419763,NaN,0.00519585935702536,0.076192192824257,NaN,0.223951952968819,NaN
150,NaN,NaN,NaN,0.00591284812054153,0.0730350997408592,NaN,0.233669470206793,NaN
200,NaN,NaN,NaN,0.00548320863382053,NaN,NaN,0.227493897491746,NaN
250,NaN,NaN,NaN,0.00474508243233239,NaN,NaN,0.235870334338165,NaN
300,NaN,NaN,NaN,0.00518608586099084,NaN,NaN,0.246913792261415,NaN
350,NaN,NaN,NaN,0.00478814834367766,NaN,NaN,0.216769951813689,NaN
450,NaN,NaN,NaN,0.00379099355141338,NaN,NaN,0.21047461972495,NaN
