t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,RIIp_2_Obs
0,-0.0342726493993713,0.25051635331783,0.000422571967025786,-0.00420230544568274,-8.90366334538815e-05,0.00660775132271817,0.0465650646034825,0.0560505097547309
3,-0.024971248456732,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,0.224384028323243,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,NaN,0.00614472126309323,NaN,NaN
6,NaN,NaN,0.000465335033506567,NaN,NaN,NaN,NaN,NaN
6.5,-0.246675100977812,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,0.251215923517875,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,0.00655496920098199,0.0568459363428021,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0571099477965875
10,0.101825245861113,0.243370823621889,0.000406273209609424,NaN,NaN,NaN,NaN,NaN
15,-0.219620808466453,0.0481418467951228,NaN,0.159159714402642,0.00150664731063526,0.00134949049441292,0.0544651570084006,NaN
20,0.0830292534073061,0.020784083598495,4.07740206675862e-05,NaN,NaN,0.000485050609744716,NaN,0.170262106805961
25,NaN,NaN,NaN,0.120114421964685,NaN,8.16475730058253e-05,0.0464666827947709,NaN
30,-0.0500228911468365,0.00469821967185316,3.65347946217296e-05,NaN,0.00100750585285814,0.000537564835697624,NaN,0.222906689886812
35,-0.0105272369510967,0.0486371077584958,NaN,NaN,NaN,NaN,0.042563362010377,NaN
40,0.0651305244544846,NaN,-4.52438722463777e-07,0.0824231982670454,NaN,NaN,NaN,0.276110253087424
45,NaN,NaN,NaN,NaN,0.000699470974480301,NaN,NaN,NaN
50,-0.0999309171952528,NaN,NaN,NaN,NaN,NaN,0.0485182288800956,NaN
55,NaN,NaN,NaN,0.0679048488441395,NaN,NaN,NaN,0.209853416988769
60,0.129543880212125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,0.00057343937556371,NaN,0.0343636550688196,NaN
70,NaN,NaN,NaN,0.0597020099971527,NaN,NaN,NaN,0.233435107683423
80,NaN,NaN,NaN,NaN,0.000761278580862991,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23769563733947
90,NaN,NaN,NaN,0.0727147023910179,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,0.0642860296500579,0.00057919387339047,NaN,NaN,NaN
150,NaN,NaN,NaN,0.0718075567671032,0.000739176628607082,NaN,NaN,NaN
200,NaN,NaN,NaN,0.0713389607970879,0.000532607013925166,NaN,NaN,NaN
250,NaN,NaN,NaN,0.0725994565060089,0.000748881259475166,NaN,NaN,NaN
300,NaN,NaN,NaN,0.0609934254172283,0.00069021475109839,NaN,NaN,NaN
