t,bio_Obs,Compound_1_Obs
0,-0.129018392009091,1.7832342196674
20,0.610414501590269,NaN
25,NaN,1.21197677105082
40,0.805157033904573,NaN
50,NaN,0.926073071994585
60,1.23143666316519,NaN
80,NaN,0.599856382657981
85,1.62794017888648,NaN
100,1.53331700463992,0.410699499991266
150,2.05573185161346,0.200903900259947
200,2.13271220598478,0.0596799667578739
250,2.56159689526074,0.0135562843167235
300,2.94788221711147,0.0970046986126807
350,2.64600583269597,-0.0241212005808235
450,3.24620925363086,-0.023285427719579
