t,bio_Obs,Compound_1_Obs
0,0.329575416773857,4.04837936861381
10,NaN,2.9261170790052
20,1.26520350540689,NaN
25,NaN,1.74242543871027
40,NaN,1.22634478308759
45,3.13064430217444,NaN
55,NaN,0.892109969121864
70,4.20668617015341,0.701472392312511
85,NaN,0.493663609703725
95,4.79870660298669,NaN
100,5.45857751035199,0.326848944525826
150,6.04071056540038,0.118154771106489
200,6.97828258007359,0.157219977672024
250,6.43313339637309,NaN
300,7.3573111478485,NaN
350,8.00856305190076,NaN
450,6.40438547505747,NaN
