t,Compound_1_Obs,Compound_4_Obs,Compound_5_Obs,Compound_7_Obs
0,17.2770448522462,0.020024316613786,5.54524821491018,0.0950556607717529
0.15,NaN,NaN,10.2986617388029,NaN
0.3,NaN,NaN,8.3991116719233,NaN
0.45,NaN,NaN,10.6615894140182,NaN
0.65,NaN,NaN,10.3116544038723,NaN
0.85,NaN,NaN,9.31188302610889,NaN
1,11.2798461805485,1.79483615163347,8.09507955443684,1.52584075200173
1.5,NaN,NaN,9.08187245128881,NaN
2,22.9834363234833,NaN,NaN,NaN
2.5,NaN,5.93133725189688,NaN,1.4987328739617
3.5,18.1006486497729,2.78592395462794,NaN,2.14855639454665
4.5,10.5282056187733,NaN,NaN,NaN
5,NaN,6.11997117433764,NaN,3.5261137433688
6,12.0812100094213,NaN,NaN,NaN
6.5,NaN,6.65171260803262,NaN,3.09050443541902
7.5,7.40846698142291,NaN,NaN,NaN
8,NaN,6.5718029549706,NaN,NaN
8.5,NaN,NaN,NaN,2.97913749569417
9,13.349900954812,NaN,NaN,NaN
10,13.4939463116001,7.07862005182719,NaN,5.18499160789798
15,11.3278324900221,6.11238538296456,NaN,4.3826975703258
20,15.4268901082468,5.17258290541131,NaN,7.14872799990175
