t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs
0,17.447240023709,28.4493910836352,0.013689136275332,0.0193274978307552,6.67970068803909,9.56088412112529,0.107867353476542
0.3,NaN,NaN,NaN,NaN,13.5525778833967,NaN,NaN
0.65,NaN,NaN,NaN,NaN,10.5008570293752,NaN,NaN
0.95,NaN,NaN,NaN,NaN,NaN,7.43307268560185,NaN
1,NaN,NaN,NaN,NaN,10.4009289429288,NaN,NaN
1.5,NaN,NaN,NaN,NaN,8.86646384410209,NaN,NaN
2,NaN,8.49174346975363,NaN,NaN,11.246820783557,12.1667442320168,NaN
2.5,10.0426087755915,NaN,8.23619967902128,8.62468715879826,8.91679057204207,NaN,NaN
3,NaN,NaN,NaN,NaN,NaN,6.95283585100699,NaN
3.5,NaN,11.4262798589447,NaN,NaN,9.21525167460914,NaN,2.60536436684277
4,NaN,NaN,NaN,NaN,8.32123744092623,12.507442027474,NaN
5,15.4073865028691,NaN,7.72773079584455,NaN,7.92298074754012,NaN,NaN
5.5,NaN,9.37009356110406,NaN,7.73442183397172,NaN,7.43338990521107,NaN
7,NaN,NaN,NaN,NaN,NaN,9.73087705027087,NaN
7.5,18.2701827681529,NaN,6.27631858045028,NaN,NaN,NaN,3.2182845746342
8,NaN,10.0656766452551,NaN,7.44145790807994,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,7.42637808956581,NaN
10,10.7994531893944,13.4870835973397,6.17641082442167,6.20116533710719,NaN,12.4818166034199,5.20064727073733
15,18.2441081112252,10.7694279618441,4.73915637727029,6.62594229964072,NaN,8.99356639849307,7.88896250113182
20,13.1878323691211,10.4318138540669,6.77998373726088,5.59212271336705,NaN,NaN,5.18934098942874
25,17.8955412323768,7.76892987737731,3.41769509090521,5.41902749313494,NaN,NaN,8.23681553996186
30,20.0210063214275,NaN,NaN,3.23120774989926,NaN,NaN,9.83578284704559
35,10.7000940468936,NaN,3.10029328548661,NaN,NaN,NaN,NaN
40,10.3763693120948,NaN,3.01234444596048,3.73124193951112,NaN,NaN,10.8817311181471
45,NaN,NaN,NaN,3.29041178175852,NaN,NaN,NaN
50,22.3111732879429,NaN,2.61103628054889,NaN,NaN,NaN,7.38367716135645
55,NaN,NaN,NaN,4.50099399555879,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,11.7348798005658
70,NaN,NaN,NaN,NaN,NaN,NaN,11.6309595278794
