t,ppS2_ppS3_S4_Obs,geneL_Obs
0,-0.187640541250832,1.37730241983956
30,2.32865128587383,NaN
65,1.668403428274,NaN
70,NaN,1.24184059236619
95,1.35594439732606,NaN
150,1.359793532067,1.17764444011623
200,0.452565445112084,0.306477405732075
250,0.352522063639421,NaN
300,0.497577199325033,6.72030637359585
400,-0.136102581993749,6.3990015180505
450,-0.153432864289678,NaN
500,NaN,0.249214423977886
550,0.18482346605461,NaN
600,NaN,2.11752003132345
750,NaN,0.161878682952389
900,NaN,0.904397553146676
1000,NaN,1.28421815352132
1500,NaN,1.06527765610894
