t,IPR_A_Obs,IPR_I2_Obs,IPR_R_Obs
0,-0.0604181347327581,0.0258789379568221,0.993451589239977
0.095,NaN,NaN,0.0123520315163436
0.1,0.864482984314322,NaN,NaN
0.2,0.740644707140121,0.264206631551839,0.00615480752502302
0.3,0.66778982725256,NaN,0.00148995869552327
0.35,NaN,0.36589614375714,NaN
0.4,NaN,NaN,-0.0072304961370699
0.45,0.570246883224635,NaN,NaN
0.55,0.543361353738629,0.393613101997235,-0.017501224840419
0.7,0.540514412712815,NaN,0.00773522428453344
0.8,NaN,0.489610515150638,NaN
0.85,NaN,NaN,-0.00124383677426752
0.9,0.481367452777861,NaN,NaN
1,0.523125124599995,0.449900166347525,0.00299403343042216
1.5,0.46386751244887,0.444148943979571,NaN
2,0.500510710151014,NaN,NaN
