t,IPR_A_Obs,IPR_I2_Obs,IPR_R_Obs
0,-0.0217280462328674,-0.00314683381812539,1.01123361589806
0.08,NaN,NaN,0.143603507354666
0.15,0.772521062715207,NaN,0.0299574706202471
0.2,NaN,0.124504279110392,NaN
0.25,NaN,NaN,0.00429346229993483
0.3,0.726996764189173,NaN,NaN
0.35,NaN,NaN,-0.00050883714277959
0.45,NaN,0.211085880503233,0.0016328038028314
0.5,0.683252630018818,NaN,NaN
0.6,NaN,NaN,0.00776403441605597
0.65,0.620569423123971,NaN,NaN
0.7,NaN,0.263724276013761,NaN
0.75,NaN,NaN,-0.00125599660569829
0.9,0.571779899823015,NaN,0.00112215889486774
0.95,NaN,0.260815528445007,NaN
1,0.572575588532172,NaN,NaN
1.5,0.581109496615907,0.272483289215047,NaN
2,0.572123467888517,0.252809530331337,NaN
2.5,0.572827869952939,NaN,NaN
