t,IPR_A_Obs,IPR_I2_Obs,IPR_R_Obs
0,-0.0301582738753717,0.0154309451047528,1.00221290448503
0.08,0.750736834373887,NaN,NaN
0.095,NaN,NaN,0.0251297152600716
0.1,NaN,0.180956620188933,NaN
0.15,0.715129170508211,NaN,NaN
0.2,NaN,0.369041058988878,-0.00147517635790238
0.25,0.549875548155361,NaN,NaN
0.3,NaN,NaN,0.010970905432868
0.35,0.492205671242941,0.504301055382656,NaN
0.4,NaN,NaN,0.000458105409568205
0.45,0.465848349480337,0.573164730542686,NaN
0.55,0.407611406702008,NaN,0.0011718117682555
0.6,NaN,0.630332792682825,NaN
0.65,0.388655119089774,NaN,NaN
0.7,NaN,NaN,0.00979639170448226
0.75,NaN,0.603671175556594,NaN
0.8,0.395614260229029,NaN,NaN
0.85,NaN,NaN,-0.00477064396100786
0.95,0.365399814946391,0.63326913036591,NaN
1,0.390295962597584,0.595698126108453,-0.00429483863005042
1.5,0.385642897828945,NaN,NaN
