t,IPR_A_Obs,IPR_I2_Obs,IPR_R_Obs
0,0.0409682356993267,0.0285586119365979,0.996111177395705
0.1,NaN,NaN,0.213838068358701
0.15,0.754387950397281,NaN,NaN
0.2,NaN,0.113077232316034,0.0486977633475937
0.3,0.689602112941286,NaN,0.0127481428267822
0.35,NaN,0.156631499140915,NaN
0.45,NaN,NaN,-0.0117796441430583
0.5,0.641319840957431,NaN,NaN
0.55,NaN,0.237495314973713,NaN
0.6,NaN,NaN,-0.00344033268647228
0.65,0.539186257566702,NaN,NaN
0.8,NaN,0.253299279184546,0.00772238054651175
0.85,0.552213551878785,NaN,NaN
1,0.595482136191027,0.253058807862588,-0.0151022532394724
1.5,0.589283769104887,0.270222579265339,NaN
2,0.584914976589153,NaN,NaN
2.5,0.524256537370212,NaN,NaN
3,0.507934092991603,NaN,NaN
3.5,0.58531206270065,NaN,NaN
