t,IPR_A_Obs,IPR_I2_Obs,IPR_R_Obs
0,0.00388743500704248,0.0344693513556056,0.999471110207764
0.085,NaN,NaN,0.0346988199814036
0.095,0.702264215859907,NaN,NaN
0.1,NaN,0.262093460683942,NaN
0.2,0.506393359411837,0.449073807963161,-0.00349765583177972
0.3,0.410857845571273,NaN,-0.000431267701236826
0.35,NaN,0.610139841467941,NaN
0.4,0.391876708348093,NaN,0.00404366172619497
0.45,NaN,0.658373673216655,NaN
0.5,0.361996132573428,NaN,NaN
0.55,NaN,NaN,0.0122802211793684
0.65,0.301037318146156,0.665593447685196,NaN
0.7,NaN,NaN,0.00209294947469657
0.8,0.300234753259394,0.702214960013597,NaN
0.9,NaN,NaN,-0.00893723715606789
0.95,0.310260634066819,NaN,NaN
1,0.324628632508638,0.667087345910355,NaN
1.5,0.260428752733821,NaN,NaN
2,0.260678064993841,NaN,NaN
