t,IPR_A_Obs,IPR_I2_Obs,IPR_R_Obs
0,-0.024198694781267,0.00675875836633761,0.999548817373079
0.07,NaN,NaN,0.0188994865766806
0.1,0.720002308366682,NaN,NaN
0.15,NaN,NaN,0.00763985416069794
0.2,NaN,0.065536898491881,-0.00612945471969747
0.25,0.656852266634619,NaN,NaN
0.3,NaN,NaN,-0.00559623095810019
0.35,0.637373921312161,NaN,NaN
0.4,NaN,NaN,-0.0118619073121689
0.45,NaN,0.0997232894713314,NaN
0.5,0.595381816718299,NaN,NaN
0.55,NaN,NaN,-0.0005164163770615
0.65,0.49998356299371,NaN,-0.00173414052374828
0.7,NaN,0.117559840797517,NaN
0.8,NaN,NaN,0.000289382661031056
0.85,0.491279828632405,NaN,NaN
1,0.484236481055585,0.137948278971198,NaN
1.5,0.515935604821536,0.14231309826546,NaN
2,0.483872068979459,0.130716229769712,NaN
