t,IPR_A_Obs,IPR_I2_Obs,IPR_R_Obs
0,0.0370916982834733,-0.00202930320255348,0.990759633879183
0.1,NaN,NaN,0.00340181326858166
0.15,0.648231412676856,NaN,NaN
0.2,NaN,NaN,0.00864320606252666
0.25,NaN,0.0367233908597954,NaN
0.3,0.50026772128628,NaN,NaN
0.35,NaN,NaN,0.000582800410183946
0.45,0.401378727216947,NaN,-0.00207361490864416
0.5,NaN,0.0483902970059778,NaN
0.6,NaN,NaN,-0.00503933852608793
0.65,0.408762626820616,NaN,NaN
0.8,NaN,0.0489660849771947,0.00591233104695775
0.85,0.392199949148247,NaN,NaN
1,0.379430623458837,0.053523466362105,0.00338774672927783
1.5,0.344141346575536,0.0514616669315946,NaN
2,0.355757514514756,0.0501702515986499,NaN
2.5,0.351358584654416,NaN,NaN
3,0.390714281616562,NaN,NaN
