t,IPR_A_Obs,IPR_I2_Obs,IPR_R_Obs
0,-0.0118807544030587,0.00475089673475372,1.00480452602587
0.085,NaN,NaN,0.0279201290716748
0.1,0.832540887629655,NaN,NaN
0.15,NaN,NaN,0.0010692107551557
0.2,NaN,0.123732934447186,NaN
0.25,0.744923824369049,NaN,-0.00273435865554448
0.35,0.718536238333501,NaN,-0.0101300139498148
0.4,NaN,0.196099388592701,NaN
0.5,0.591664501556953,NaN,-0.00283963047577291
0.6,NaN,NaN,0.00752567776573968
0.65,0.59172954095021,0.235753040592706,NaN
0.8,0.557781914601621,NaN,-0.00466117726428896
0.9,NaN,0.261884590087538,NaN
0.95,0.559630793482237,NaN,-0.0175526962291725
1,0.542508452278997,0.271230627685605,NaN
1.5,0.47069104433911,0.270947619636879,NaN
2,0.494264703031526,0.267851829096113,NaN
2.5,0.563744708670934,NaN,NaN
