t,Compound_1_Obs,Compound_2_Obs
0,-4.14334153121103e-05,0.987681981711968
0.095,NaN,0.327887041190564
0.2,NaN,0.574376439888434
0.25,0.000669576240514178,NaN
0.3,NaN,0.543008506261955
0.4,NaN,0.559634163062554
0.5,NaN,0.683987558190477
0.55,0.000634793603300661,NaN
0.65,NaN,0.697673407109298
0.8,NaN,0.725933191643116
0.85,0.000740290188019869,NaN
0.95,NaN,0.661579638449413
1,0.000731534247888592,0.752868934057923
1.5,0.000732793708598354,0.694573952135211
2,0.000810462944044574,0.679246798038829
