t,X_protein_Obs,Y_protein_Obs,Z_protein_Obs,GFP_Obs,X_mRNA_Obs,Y_mRNA_Obs,Z_mRNA_Obs,GFP_mRNA_Obs
0,113.576492670783,3318.40402965488,-121.523399510781,8.20403280052152,99.064587274602,1478.63991406853,559.537413971367,6.90448314673731e-06
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.33694384457322e-07
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.01609612184047e-08
15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.84225681594493e-08
20,NaN,NaN,NaN,NaN,0.701690251994125,-30.3203035026181,NaN,NaN
25,NaN,27443.3370170746,NaN,NaN,NaN,NaN,6.90884906980121,-1.20426579126853e-07
30,1857.8171911282,NaN,NaN,NaN,NaN,NaN,NaN,2.20400155607529e-07
40,NaN,NaN,6564.26696263262,NaN,NaN,-10.6554786834239,NaN,-2.41512011517001e-07
45,NaN,NaN,NaN,NaN,2.09479280850674,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,-0.569561443734812,-2.09714986982039e-08
55,NaN,10923.922327825,NaN,NaN,NaN,NaN,NaN,NaN
60,597.569311896226,NaN,NaN,8.21024876883231,NaN,NaN,NaN,1.57537362079124e-07
65,NaN,NaN,NaN,NaN,NaN,8.81913309391967,NaN,NaN
70,NaN,NaN,NaN,NaN,0.17687339539286,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,11.3455921047214,NaN
80,NaN,4807.00534525884,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,1436.67333237196,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,-26.6819497888476,NaN,NaN
95,-44.2555553074073,NaN,NaN,NaN,0.214694012816608,NaN,NaN,NaN
100,NaN,2378.23860652476,NaN,NaN,1.60489342142166,-30.345998333827,-5.06565631534119,NaN
150,1119.19787826952,2079.04572375223,194.542172002383,55.5152495737114,3.99271587803599,-0.509878923702198,5.47610280367193,NaN
200,1364.6669638602,1459.98381567305,792.104973476928,48.2720231658235,6.21843459913593,6.5370356828436,7.76881158682367,NaN
250,301.899540956908,970.79227534501,1379.9262406441,30.1696362655538,-1.71556860242451,37.9262841257599,14.9235522624914,NaN
300,NaN,-1313.59666209399,556.091361526663,NaN,1.68349579763072,11.3655175819141,NaN,NaN
350,1170.07937277533,959.931924350205,NaN,54.7073157529863,2.72858967078441,-6.40213444454772,-14.1521804252665,NaN
400,290.732524240078,NaN,413.693175153059,NaN,NaN,NaN,9.42476814344973,NaN
450,NaN,NaN,695.647832208196,78.6494910483976,NaN,NaN,NaN,NaN
500,862.822635295023,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,52.0906867576522,NaN,NaN,NaN,NaN
600,929.561531844127,NaN,145.649840255091,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,47.1213684973429,NaN,NaN,NaN,NaN
700,NaN,NaN,804.047336809651,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,38.9099622870315,NaN,NaN,NaN,NaN
1000,NaN,NaN,NaN,53.3534415649746,NaN,NaN,NaN,NaN
1500,NaN,NaN,NaN,51.8674403554689,NaN,NaN,NaN,NaN
