t,PKDDAGa_Obs,PI4K3B_Obs,CERTTGNa_Obs
0,207.508517018199,1544334.25718996,17425195.3166991
2,656.609545842919,NaN,NaN
3.5,NaN,67351540.8325716,31140299.2773567
4,446.662420120101,NaN,NaN
6,559.285613737666,NaN,NaN
7,NaN,64897168.6005189,30079646.1283475
8.5,308.22732492006,NaN,NaN
10,407.034035124472,18762872.7644894,33165498.3769206
15,518.565751871094,32088301.6003462,68307108.9536183
20,728.56570156804,22714351.5541698,78519236.9637488
25,14620.733977905,30424154.7919277,68577197.6379763
30,NaN,NaN,69411824.1489663
40,NaN,NaN,70729111.9334524
50,NaN,NaN,74782876.144481
60,NaN,NaN,111328824.958749
70,NaN,NaN,57301504.4454544
