t,PKDDAGa_Obs,PI4K3B_Obs,CERTTGNa_Obs
0,967.606803760132,1042622.80805439,24020430.8738682
3,666.789743613237,NaN,NaN
3.5,NaN,NaN,43322003.456646
4,NaN,1054569.94453529,NaN
6,755.734184556887,NaN,NaN
7,NaN,NaN,114530804.96733
8,NaN,1924816.70955749,NaN
9,873.618994673137,NaN,NaN
10,1123.81276372104,1136432.25732996,168518583.034969
15,1070.60562474852,1822038.07194196,310257153.855142
20,1124.18858776319,NaN,354458333.525633
25,947.94630064449,1075877.92535325,189645318.239889
30,618.601749696095,1592128.55455017,846725843.959253
35,1236.38774356855,1108155.62910668,449567072.767179
45,485.066182862259,1169923.20635054,475022498.11037
55,966.914132001018,997885.878061689,456782769.429584
65,1286.07683837449,1018812.21324803,607546845.716521
