t,p_IL13_Rec_i_Obs,JAK2_Obs,pSTAT5_Obs,SOCS3mRNA_Obs,IL13_DecoyR_Obs,SOCS3_Obs
0,0.0248426514114001,3.15804065355103,-4.23916553716551,117.044307584345,-0.020555081149389,-3.35253252698464
3,NaN,NaN,NaN,NaN,0.195619065572329,NaN
6.5,NaN,NaN,NaN,NaN,0.251664377525876,NaN
9.5,NaN,NaN,NaN,NaN,0.255344880690474,NaN
10,NaN,NaN,10.1942498449272,-48.8413260451066,NaN,3.56841807399075
15,0.200684510740957,0.401557540043322,NaN,NaN,0.303244683272958,NaN
20,NaN,NaN,NaN,NaN,0.296795436793571,NaN
25,0.195476538145702,0.456728284510086,77.104434720537,31.9183049319092,0.377262759002909,9.92397257557062
30,NaN,NaN,NaN,NaN,0.373353834755984,NaN
35,NaN,NaN,76.1117964479351,NaN,0.388517493042408,15.2598684441192
40,0.26973658960371,0.389630966700216,NaN,79.9987253331452,NaN,NaN
45,NaN,NaN,122.621191638318,NaN,0.270645577600889,NaN
50,NaN,NaN,NaN,172.160128461023,NaN,37.8953630742934
55,0.214666011667207,0.703472762107296,NaN,NaN,0.255592776467559,NaN
60,NaN,NaN,115.788243459465,NaN,0.28918475678001,NaN
65,NaN,NaN,NaN,337.219623181256,NaN,58.9172353901412
75,0.213860285732007,0.791067370866513,115.333003369591,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,74.7560687945432
85,NaN,NaN,NaN,499.092563212971,NaN,NaN
95,0.187712767685164,0.831490881338733,106.81006546643,NaN,NaN,93.5626525424264
100,0.178765227164761,1.35303580013194,110.287974362071,536.983245640294,NaN,93.6208005898452
150,0.243468200988499,1.41149856786661,100.46210855057,977.693711588685,NaN,125.947654441258
200,0.211795493837874,1.49868185505291,99.6490130299331,1158.54883567053,NaN,141.355833802762
250,0.211115789746934,1.39461101803905,109.147515276102,1565.46602940587,NaN,159.516643542329
300,0.210108679753726,1.64953646954384,78.2992977349788,2055.22023848411,NaN,162.210033029212
