t,JAK2_Obs,STAT5_Obs,pSTAT5_Obs,SOCS3mRNA_Obs,SOCS3_Obs
0,2.6099215780259,125.72184467905,3.15449598422517,63.6861719480887,-2.54511333108987
10,NaN,178.886186676343,NaN,33.113274774229,-2.7417548855773
15,1.99135348736188,NaN,15.4017845656458,NaN,NaN
20,NaN,NaN,NaN,NaN,-0.0377400677328459
25,NaN,123.921189170112,40.0029592189889,1.08673012113893,NaN
30,0.922221419335044,NaN,NaN,NaN,16.0471350009211
35,NaN,NaN,NaN,191.729637123844,NaN
40,NaN,99.6709133925943,37.5116034208651,NaN,NaN
45,NaN,NaN,NaN,NaN,10.3642547000185
50,1.80037953667147,107.634537376334,NaN,104.468323027303,NaN
55,NaN,NaN,63.7966295693478,NaN,NaN
60,NaN,NaN,NaN,NaN,23.5948084940722
65,NaN,NaN,NaN,258.21212839362,NaN
70,1.83777114454127,90.794068401047,71.0796771985419,NaN,NaN
75,NaN,NaN,NaN,NaN,38.3195820249472
80,NaN,NaN,NaN,204.319140485972,NaN
85,NaN,49.2143555971151,73.1166470959943,NaN,NaN
90,2.12589791442529,NaN,NaN,NaN,63.8898159689419
95,NaN,NaN,NaN,402.028256933093,NaN
100,2.00668566050326,77.3887628797734,100.150148125776,308.01770470299,63.6942351423618
150,1.96030949858949,104.656763857646,83.2075397483984,664.843921350411,94.9785810198232
200,2.21106913639167,110.262826035223,69.493877898047,912.181737065406,109.519102516229
250,2.29488637922805,103.310152087448,54.0524074609658,1096.24698537902,125.255261453257
300,2.52245795936939,104.89036052615,63.319716187014,1423.61538237182,144.874705317909
