t,p_IL13_Rec_i_Obs,STAT5_Obs,Rec_i_Obs,Rec_Obs
0,-0.12487881770316,150.954706389157,351.660441933622,1.21358331808165
3,NaN,NaN,NaN,1.0087536192714
3.5,0.191777403937282,NaN,NaN,NaN
4,NaN,NaN,348.89978496519,NaN
6,NaN,187.018005504783,NaN,NaN
6.5,NaN,NaN,NaN,0.677535449083155
7,0.094836097855881,NaN,NaN,NaN
7.5,NaN,NaN,297.777848256248,NaN
10,-0.107057450014298,NaN,325.157861241136,0.823122092177854
15,-0.200906344293163,173.27939544047,333.879044086342,0.928282724739659
20,0.0268844773507171,129.888051651033,274.873805094397,0.650264731189534
25,NaN,NaN,NaN,0.699463538529301
30,0.115537875826506,163.376666359513,381.784012858272,0.724359268084161
35,NaN,NaN,375.301503664007,NaN
40,NaN,161.904605984213,NaN,NaN
