t,Y_protein_Obs,Z_mRNA_Obs,GFP_mRNA_Obs
0,485.772735620867,455.620226158098,6.08390924017552e-06
5.5,NaN,NaN,-1.90445278974511e-08
10,NaN,NaN,6.24627967840526e-08
15,NaN,3.81070639873972,-3.37357822424307e-08
25,NaN,NaN,-2.59700972319233e-08
30,8056.48492476091,NaN,7.52990244009247e-08
35,NaN,-0.0680431819063675,NaN
40,NaN,NaN,-2.63955493963119e-08
50,NaN,3.27827836269073,9.27295364085604e-08
60,2478.38899510599,NaN,NaN
65,NaN,NaN,7.26256745558177e-08
70,NaN,2.32665444316692,NaN
90,NaN,2.82524442462998,NaN
95,535.413832057017,NaN,NaN
100,NaN,4.5082267280045,NaN
150,1830.93089392768,-0.515196707219927,NaN
200,374.151630862242,-0.983207789463174,NaN
250,NaN,-0.0228869100256094,NaN
300,412.65277016043,-5.86200165301951,NaN
350,836.927585033329,NaN,NaN
400,961.171353486338,NaN,NaN
