t,IPR_S_Obs,Compound_1_Obs
0,0.000177299218854558,0.0272523225195461
0.095,NaN,0.652886057935423
0.2,NaN,0.933457351571639
0.3,NaN,1.01675303412798
0.4,NaN,1.0260976456614
0.55,NaN,0.972707029495599
0.65,0.00224286552511856,NaN
0.7,NaN,1.06721891492621
0.85,NaN,1.06187332052216
1,NaN,0.940115293018613
1.5,0.00171850155169954,NaN
2,0.00160764371061595,NaN
3,0.00172664071043466,NaN
3.5,0.00125398202545185,NaN
4.5,0.00128935579936753,NaN
6,0.00150883068420384,NaN
7,0.00126709598601528,NaN
9,0.00130588575737555,NaN
