t,IPR_S_Obs,Compound_1_Obs
0,-1.6028558708667e-05,-0.0527856185564684
0.09,NaN,0.741079599190939
0.2,NaN,1.05313188383698
0.3,NaN,0.9654833052215
0.4,NaN,1.01500935512035
0.45,0.000222450957757827,NaN
0.55,NaN,1.11163946491695
0.65,NaN,0.989951602046789
0.85,NaN,1.03939340571387
0.9,0.000201590114686994,NaN
1,NaN,0.886443951085623
1.5,0.000149084609351031,NaN
2,0.000132317573306313,NaN
2.5,0.00012084726543602,NaN
3.5,0.000117593704280501,NaN
4,0.000156760589725065,NaN
5,0.000113207997258874,NaN
6.5,0.000121272504638472,NaN
