t,Ins_Obs,IR1_Obs,IR2in_Obs,Uptake2_Obs,InsulinFragments_Obs
0,100.213053951217,0.00130396729684759,-0.455466475408762,-5.33775910999091,-0.00155114038862983
5,20.0886561911619,NaN,NaN,NaN,NaN
6.5,NaN,0.783858073728995,NaN,NaN,NaN
9,NaN,NaN,39.8914389781487,NaN,NaN
10,13.4088881240506,NaN,NaN,54.3531849884181,2.04878034811419
15,10.3981606694359,0.555231841992443,NaN,NaN,NaN
20,8.51393774603018,0.418479982315655,44.7543298072931,69.3249158731602,12.0894945880311
25,NaN,0.386036322118333,NaN,NaN,NaN
30,5.69618597868083,NaN,53.4056535961323,NaN,NaN
35,5.24804458632213,0.330577882394675,NaN,59.6979806570281,12.0755838270159
40,NaN,NaN,54.6780910128468,NaN,NaN
45,6.1755434289636,0.294864773050386,NaN,79.2870216559727,23.4417765986146
50,NaN,NaN,54.1562452881813,NaN,NaN
55,4.84154567125021,0.246941476634463,NaN,NaN,NaN
60,NaN,NaN,44.5463078823862,83.4054132471099,30.9569517290267
65,1.77238915352464,0.233973189408921,NaN,NaN,NaN
75,NaN,NaN,38.9373846627992,79.8447368726537,41.6870322512457
80,2.20503049207218,0.16457587431375,NaN,NaN,NaN
90,NaN,NaN,39.5385873623828,NaN,NaN
95,NaN,0.170197963260947,NaN,86.1963142353388,48.1574642031691
100,NaN,0.180905175948777,33.1058936049919,93.2100074654011,47.3788330891105
150,NaN,NaN,24.7947637562985,88.1738200843108,65.5069042221781
200,NaN,NaN,15.1273963993354,96.6799379766366,76.1793982268116
