t,Ins_Obs,Rec1_Obs,Rec2_Obs,IR1in_Obs,InsulinFragments_Obs
0,-0.0498070995017628,80.4741974066505,1916.72585544754,-0.0269179693481435,-0.0715528410466805
4.5,NaN,NaN,2062.01211085432,NaN,NaN
5.5,-0.179576414682844,NaN,NaN,NaN,NaN
6,NaN,105.525597910458,NaN,-0.0421800253707293,-0.00680983622547511
9.5,NaN,NaN,2478.12329166611,NaN,NaN
10,-0.027788943085662,109.578862646968,NaN,-0.017460024173004,-0.0913447516526831
15,NaN,NaN,2126.0906368648,NaN,NaN
20,0.00243857484970635,93.3680503701006,1928.23127603124,-0.0914883407367608,-0.0444029705360329
25,-0.0490200979423239,NaN,NaN,0.0528950221740418,0.174948145499785
30,NaN,107.316095001655,2012.96529776812,NaN,NaN
35,0.087812407185901,NaN,NaN,-0.0534950224113378,0.0345992573303732
40,NaN,123.086345428331,NaN,NaN,NaN
