t,Rec1_Obs,Rec2_Obs,IR1in_Obs
0,112.035371253883,2025.09675680512,0.000178610464839937
3.5,NaN,2212.40226588263,NaN
4,96.1709005482719,NaN,NaN
7,NaN,1978.01671076377,NaN
8.5,116.155423848588,NaN,NaN
10,NaN,2019.79686249016,0.00315233154089943
15,96.0869744051459,1849.39152145457,NaN
20,108.16075611091,2174.94345606296,NaN
25,108.148730184991,2285.90188915329,0.00336764847069824
30,108.963270543767,2092.98933992554,NaN
35,97.6540366664495,2132.13178362996,0.00284283440223945
45,120.800300081392,1984.0027983006,NaN
50,NaN,NaN,0.00222723359355867
55,106.370667941529,1971.5189566271,NaN
65,117.06306449858,NaN,0.00183383279804629
80,NaN,NaN,0.00171590433645291
100,NaN,NaN,0.00133898170006252
150,NaN,NaN,0.000761398311808532
200,NaN,NaN,0.00050561759916668
