t,Rec1_Obs,Rec2_Obs,IR1in_Obs
0,104.765366843194,2210.3690754562,0.000104744044696807
6.5,105.56215222294,NaN,NaN
10,NaN,2239.73728217164,0.0314071533963568
15,117.502010215026,NaN,NaN
20,116.411995284886,2013.50915577724,NaN
25,104.370501029103,NaN,0.0333502311555542
30,NaN,2337.24362455942,NaN
35,100.608910419545,NaN,0.0291204994447569
40,NaN,2182.84972615357,NaN
45,114.007381611969,NaN,NaN
50,NaN,NaN,0.0229841478545638
55,104.178208470505,2132.3093938674,NaN
65,119.052768951917,NaN,0.0201511504521053
70,NaN,1950.6402835794,NaN
75,115.595113247852,NaN,NaN
80,NaN,NaN,0.0149498604173766
85,NaN,1778.78098256825,NaN
90,94.3964035730909,NaN,NaN
100,118.575952132788,2163.08108798836,0.0122918647599852
150,113.69282215769,2298.55753572023,0.009808691207389
200,NaN,1901.02676044871,0.00516259481602649
