t,IR1_Obs,IR2in_Obs,Uptake2_Obs
0,-0.285275293020941,24.6076323117513,21.166612142777
5,7.41840165868792,NaN,NaN
9,NaN,334.372972565594,NaN
9.5,5.68624442881685,NaN,444.848800285215
15,4.22901589743576,NaN,NaN
20,3.79347205738698,440.634936825508,593.605733521437
25,3.94939999502468,NaN,NaN
30,NaN,452.876031275304,674.060293866548
35,3.36948692508885,NaN,NaN
40,2.96613617117399,487.638679932577,751.995461433071
50,2.47697319301375,484.36874288246,NaN
55,NaN,NaN,676.987149037767
60,2.37650861349754,461.352299201272,NaN
65,NaN,NaN,672.934347420844
70,2.70174422691956,NaN,NaN
75,NaN,450.780049648999,NaN
80,1.84892523459557,NaN,NaN
85,NaN,NaN,827.394385141126
90,NaN,392.665844555352,NaN
95,1.7720634399385,NaN,NaN
100,NaN,345.75948567882,763.892080788407
150,NaN,227.791023762626,880.030211710872
200,NaN,170.018777236572,859.179303587645
