t,Ins_Obs,IR1_Obs,IR2in_Obs,Uptake2_Obs,InsulinFragments_Obs
0,9628.26246486299,-0.016362309082217,-152.389133919726,47.4607358557554,-71.1335690454768
3.5,NaN,27.9788964121858,NaN,NaN,NaN
5.5,2720.71374639353,NaN,NaN,NaN,NaN
7,NaN,NaN,1398.96327492033,NaN,NaN
7.5,NaN,15.0538357886271,NaN,2330.31808108617,NaN
8.5,NaN,NaN,NaN,NaN,240.700505464903
10,2728.45936369753,15.118641066448,NaN,NaN,NaN
15,2702.99427250252,13.5569536647884,1670.24470352444,1952.42396553474,115.786560838367
20,NaN,12.3182897841364,1624.74934532668,2079.89050279571,NaN
25,2635.35533496559,12.3034490061286,NaN,NaN,385.663894148471
30,2802.48848619546,NaN,1750.1396425503,2589.43660260186,NaN
35,2624.26955034093,13.0697605212577,NaN,NaN,754.627882205617
40,NaN,12.385931836524,1516.17548581026,2701.04030177173,NaN
45,2545.14341308174,NaN,1726.24135659858,NaN,726.644977648273
50,NaN,11.4387625167823,NaN,2741.41775549402,NaN
55,1914.93149725156,NaN,1685.30908454359,NaN,911.63896913317
60,NaN,11.5482044385225,NaN,2553.04083289814,NaN
65,2352.95660084254,NaN,NaN,NaN,NaN
70,NaN,NaN,1817.73104321066,3211.96341970518,1328.41874748864
75,2378.97121640618,NaN,NaN,NaN,NaN
80,NaN,NaN,1691.29662258851,NaN,NaN
85,2040.63843915541,NaN,NaN,3432.34329910732,1604.83656496862
95,NaN,NaN,1643.11345970269,NaN,NaN
100,2088.21410023592,NaN,1631.84896817012,3796.12626812936,1839.18652739723
150,1877.76051693751,NaN,1540.41968909009,4026.63485789409,2839.69450619068
200,NaN,NaN,1476.8638912614,5810.85869801811,3783.93129575363
