t,Ins_Obs,Rec1_Obs,Rec2_Obs,IR1in_Obs,InsulinFragments_Obs
0,10.1560780088892,107.762851272854,2155.14582267041,0.000845006169992253,0.471309164764304
5,1.82892027001566,NaN,NaN,NaN,NaN
10,1.54020754300978,NaN,1965.58844277389,0.291483675024032,0.0262029479254483
15,1.05089877018518,125.36418404428,NaN,NaN,NaN
20,0.989332641460767,NaN,1622.7871439682,NaN,1.05039771159208
25,NaN,111.009301390901,NaN,0.33216885902981,NaN
30,0.479124045670998,NaN,1835.44069901867,NaN,NaN
35,0.638489665945538,NaN,NaN,0.29656809476149,1.83396287588649
40,NaN,114.156579874028,NaN,NaN,NaN
45,0.500552315864853,NaN,2128.41195176325,NaN,2.32079276825194
50,NaN,NaN,NaN,0.243976935932627,NaN
55,0.571265093941888,126.118670965771,1991.2391387182,NaN,NaN
60,NaN,NaN,NaN,NaN,3.01677612598093
65,0.559477622761693,NaN,NaN,0.197467993206303,NaN
70,NaN,NaN,2055.85317252423,NaN,NaN
75,0.211134164449162,114.379342139057,NaN,NaN,4.02405447414035
80,NaN,NaN,NaN,0.155280100874605,NaN
85,NaN,NaN,1826.88275229379,NaN,NaN
90,0.533713820217095,NaN,NaN,NaN,NaN
95,NaN,100.283977277799,NaN,NaN,4.11090074833847
100,NaN,109.675205880029,2099.97320474895,0.14063237379021,5.21404877103887
150,NaN,119.023034435054,2409.26887940785,0.0995480723461018,6.87611368814759
200,NaN,99.483100497357,2229.24527604147,0.047975741064822,8.09051651393947
