t,AC_Fsk_Obs,Compound_1_Obs
0,-0.0189733102747523,0.0438483912350151
9.5,NaN,-0.0620579194383664
20,NaN,0.0037493993104591
25,0.0224024658718904,NaN
30,NaN,-0.0360138906393071
40,NaN,0.0126418049516528
45,-0.0288026866263392,NaN
50,NaN,0.0161208674084777
65,NaN,0.0289622101187356
70,0.102048643018656,NaN
80,NaN,-0.0503817403838217
95,NaN,-0.0221206504072074
100,0.0347248553493703,0.0446299481889813
150,-0.00694653052334969,-0.0220335239699327
200,-0.0564345656475072,-0.00251811437495331
250,-0.076777691178621,0.0525121386368157
300,-0.0443457905600902,-0.0423592677511239
350,-0.125424613157605,0.0263511350301907
450,-0.0336997254014963,0.0161391178388209
