t,AC_Fsk_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.0836542983937208,-0.00451661463552214,0.231382600236138
6,NaN,NaN,0.316395121535623
9,-0.105143465372553,NaN,NaN
10,NaN,-0.0223193981071457,0.340644393165563
20,0.00726246739491053,-0.0951594851079866,0.366025715841637
25,NaN,NaN,0.364939423917215
30,0.0550967495326783,NaN,NaN
35,NaN,0.0751573268440314,0.441700240247997
40,-0.0294573030961951,NaN,NaN
45,NaN,-0.0154696424193145,0.417353763079061
55,-0.00638566949252471,NaN,0.418608447875228
60,NaN,-0.0234365852874468,NaN
70,-0.00413421920677437,NaN,NaN
80,NaN,0.00612261590558744,NaN
90,-0.0351340076494118,NaN,NaN
100,-0.0331339519519125,0.0556834589384926,NaN
150,NaN,0.0799878037474713,NaN
200,NaN,-0.0226219154905321,NaN
