t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0,0.908422473728551,0.269442044416924
25,6.74503775611205,NaN,NaN
30,NaN,208.781343840335,52.6235256723708
50,80.4903451562196,NaN,NaN
60,NaN,NaN,345.366705608873
65,NaN,166.184277004262,NaN
80,70.4356955474677,NaN,NaN
90,NaN,NaN,167.294139626682
95,NaN,461.448509593374,NaN
100,118.992506819263,NaN,240.289195046383
150,230.418636834443,96.2422002100334,871.724456278278
200,175.727516226681,121.316409347748,345.223727792341
250,579.950028137046,1319.64622338407,2162.0165763522
300,NaN,790.60929771367,646.659054386174
350,282.803731805006,636.576199326787,112.636871330822
400,264.125134547069,NaN,754.406325247682
450,NaN,158.334540261148,NaN
500,210.349439250297,163.757491214842,576.644626159323
600,723.760947083462,32.145283140939,410.054512410565
750,744.927803023655,47.7711906524945,259.71850462514
