t,input_il6,Compound_1_Obs
92,0,75.7389727526387
92,0,46.7449450827754
92,0,70.2297018898796
92,0,71.6431561845453
92,0.0005,91.2737962399558
92,0.0005,54.8719362735316
92,0.0005,56.6331816994664
92,0.0005,88.3849657390981
92,0.0005,38.829700238462
92,0.0005,84.6194349646671
92,0.0005,102.337966679048
92,0.0005,107.739713752413
92,0.005,52.2836010641725
92,0.005,42.2248341789427
92,0.005,81.644945730308
92,0.005,110.854278059188
92,0.05,59.9793381358849
92,0.05,88.2583276524318
92,0.05,51.4207642393936
92,0.05,45.9697514682586
92,0.05,84.1484214182732
92,0.05,88.5287738109317
92,0.1,69.9773827185005
92,0.1,100.556989184873
92,0.1,104.898840709178
92,0.1,95.7819755172765
92,0.1,72.3442358463791
92,0.1,59.0875192818478
92,0.1,90.4453428252139
92,0.1,87.4883950992998
92,0.5,110.21220049965
92,0.5,70.4493193880216
92,1,62.6201293381503
92,1,78.5912794997166
92,1,97.4033564767203
92,1,120.65375872142
92,1,49.4791001348829
92,1,82.0391442946437
92,1,80.53296374919
92,1,94.9120665683111
92,2.5,109.103002805307
92,2.5,117.241589741825
92,2.5,144.960845893385
92,2.5,140.787990297279
92,2.5,104.753063801589
92,2.5,130.13892077463
92,5,120.612604076586
92,5,75.8257761985864
92,5,99.5083693094803
92,5,61.3909904858381
92,5,95.8003173424842
92,5,74.1979756499789
92,10,126.520933878827
92,10,115.771891135426
92,25,140.31620320218
92,25,102.154609220954
92,25,111.62345425503
92,25,125.659208126805
92,25,108.680746949743
92,25,138.205959690385
92,25,123.570788902114
92,25,88.381944417755
92,50,120.253279341214
92,50,93.7841921677458
92,50,90.7769865555756
92,50,113.149544127488
92,50,74.8119344657737
92,50,106.300008304401
92,100,73.4838235420989
92,100,75.9994741622742
92,100,45.7910891307007
92,100,47.6388645853139
92,200,104.944327497639
92,200,76.3493179887316
92,200,84.6833771700668
92,200,113.756954399739
92,200,111.077441879549
92,200,105.218567771634
92,200,121.99714716194
92,200,98.5915705351793
92,500,130.176268999156
92,500,133.482036817143
92,500,147.573453400896
92,500,86.9608412505012
92,500,136.979307381803
92,500,95.8747404761338
92,500,124.777917434486
92,500,149.806166787227
